onset	duration	sample	trigger
4.171	0.001	4171	254
162.376	0.001	162376	201
164.364	0.001	164364	11
165.752	0.001	165752	31
167.27	0.001	167270	60
167.769	0.001	167769	51
168.618	0.001	168618	103
170.206	0.001	170206	104
171.065	0.001	171065	2
172.453	0.001	172453	22
173.971	0.001	173971	60
174.47	0.001	174470	42
175.039	0.001	175039	101
176.877	0.001	176877	102
178.125	0.001	178125	12
179.523	0.001	179523	32
181.031	0.001	181031	60
181.54	0.001	181540	52
182.12	0.001	182120	103
183.538	0.001	183538	104
184.457	0.001	184457	10
185.845	0.001	185845	30
187.363	0.001	187363	60
187.862	0.001	187862	50
188.501	0.001	188501	103
192.855	0.001	192855	4
194.253	0.001	194253	24
195.202	0.001	195202	61
196.27	0.001	196270	44
196.78	0.001	196780	101
198.408	0.001	198408	102
199.456	0.001	199456	10
200.844	0.001	200844	30
201.523	0.001	201523	62
202.862	0.001	202862	50
203.271	0.001	203271	103
205.847	0.001	205847	104
207.016	0.001	207016	1
208.414	0.001	208414	21
209.213	0.001	209213	62
210.421	0.001	210421	41
210.99	0.001	210990	101
213.297	0.001	213297	102
214.296	0.001	214296	6
215.694	0.001	215694	26
217.202	0.001	217202	60
217.711	0.001	217711	46
218.151	0.001	218151	101
221.237	0.001	221237	102
222.345	0.001	222345	6
223.733	0.001	223733	26
225.251	0.001	225251	60
225.75	0.001	225750	46
226.25	0.001	226250	101
228.906	0.001	228906	102
230.154	0.001	230154	5
231.553	0.001	231553	25
233.061	0.001	233061	60
233.56	0.001	233560	45
234.109	0.001	234109	101
235.048	0.001	235048	102
235.967	0.001	235967	7
237.365	0.001	237365	27
238.194	0.001	238194	61
239.372	0.001	239372	47
239.911	0.001	239911	103
241.978	0.001	241978	104
242.907	0.001	242907	9
244.305	0.001	244305	29
244.984	0.001	244984	61
246.313	0.001	246313	49
247.771	0.001	247771	101
249.179	0.001	249179	102
250.197	0.001	250197	4
251.595	0.001	251595	24
252.384	0.001	252384	61
253.613	0.001	253613	44
254.392	0.001	254392	101
255.32	0.001	255320	102
256.479	0.001	256479	11
257.877	0.001	257877	31
259.395	0.001	259395	60
259.894	0.001	259894	51
260.373	0.001	260373	103
262.191	0.001	262191	104
263.419	0.001	263419	5
264.817	0.001	264817	25
266.325	0.001	266325	60
266.835	0.001	266835	45
267.544	0.001	267544	101
268.982	0.001	268982	102
269.871	0.001	269871	1
271.269	0.001	271269	21
272.098	0.001	272098	62
273.286	0.001	273286	41
273.905	0.001	273905	101
276.252	0.001	276252	102
277.261	0.001	277261	8
278.659	0.001	278659	28
280.077	0.001	280077	62
280.676	0.001	280676	48
281.255	0.001	281255	103
282.733	0.001	282733	104
283.682	0.001	283682	12
285.08	0.001	285080	32
286.588	0.001	286588	60
287.097	0.001	287097	52
287.676	0.001	287676	103
290.163	0.001	290163	104
291.321	0.001	291321	9
292.72	0.001	292720	29
293.149	0.001	293149	61
294.737	0.001	294737	49
295.286	0.001	295286	103
297.413	0.001	297413	104
298.651	0.001	298651	3
300.05	0.001	300050	23
300.559	0.001	300559	62
302.067	0.001	302067	43
302.496	0.001	302496	101
303.525	0.001	303525	102
304.464	0.001	304464	2
305.862	0.001	305862	22
306.88	0.001	306880	61
307.879	0.001	307879	42
308.488	0.001	308488	101
310.685	0.001	310685	102
311.824	0.001	311824	3
313.222	0.001	313222	23
313.961	0.001	313961	62
315.239	0.001	315239	43
315.848	0.001	315848	101
318.065	0.001	318065	102
318.884	0.001	318884	8
320.282	0.001	320282	28
320.851	0.001	320851	62
322.299	0.001	322299	48
322.919	0.001	322919	103
324.856	0.001	324856	104
326.044	0.001	326044	7
327.442	0.001	327442	27
328.042	0.001	328042	61
329.45	0.001	329450	47
330.189	0.001	330189	103
330.938	0.001	330938	104
331.167	0.001	331167	255
392.53	0.001	392530	254
394.617	0.001	394617	201
396.565	0.001	396565	2
397.953	0.001	397953	22
398.692	0.001	398692	61
399.97	0.001	399970	42
400.659	0.001	400659	101
403.535	0.001	403535	102
404.594	0.001	404594	1
405.992	0.001	405992	21
406.631	0.001	406631	62
407.999	0.001	407999	41
408.379	0.001	408379	101
409.897	0.001	409897	102
411.045	0.001	411045	9
412.443	0.001	412443	29
412.952	0.001	412952	61
414.46	0.001	414460	49
414.91	0.001	414910	103
417.516	0.001	417516	104
418.575	0.001	418575	6
419.973	0.001	419973	26
421.481	0.001	421481	60
421.99	0.001	421990	46
422.519	0.001	422519	101
424.647	0.001	424647	102
425.925	0.001	425925	7
427.313	0.001	427313	27
427.882	0.001	427882	61
429.33	0.001	429330	47
429.82	0.001	429820	103
431.457	0.001	431457	104
432.376	0.001	432376	2
433.764	0.001	433764	22
434.473	0.001	434473	61
435.781	0.001	435781	42
436.361	0.001	436361	103
438.987	0.001	438987	104
440.185	0.001	440185	11
441.584	0.001	441584	31
443.092	0.001	443092	60
443.601	0.001	443601	51
444.28	0.001	444280	103
445.548	0.001	445548	104
446.637	0.001	446637	7
448.035	0.001	448035	27
449.373	0.001	449373	61
450.052	0.001	450052	47
450.661	0.001	450661	103
453.148	0.001	453148	104
453.967	0.001	453967	4
455.365	0.001	455365	24
455.934	0.001	455934	61
457.382	0.001	457382	44
457.891	0.001	457891	101
459.859	0.001	459859	102
461.027	0.001	461027	9
462.425	0.001	462425	29
462.925	0.001	462925	61
464.443	0.001	464443	49
464.892	0.001	464892	103
467.019	0.001	467019	104
468.058	0.001	468058	1
469.456	0.001	469456	21
470.205	0.001	470205	62
471.473	0.001	471473	41
471.892	0.001	471892	101
473.8	0.001	473800	102
474.619	0.001	474619	3
476.017	0.001	476017	23
477.335	0.001	477335	62
478.034	0.001	478034	43
478.533	0.001	478533	101
480.95	0.001	480950	102
481.999	0.001	481999	4
483.387	0.001	483387	24
483.976	0.001	483976	61
485.414	0.001	485414	44
485.873	0.001	485873	101
487.701	0.001	487701	102
488.5	0.001	488500	7
489.888	0.001	489888	27
490.557	0.001	490557	61
491.905	0.001	491905	47
492.594	0.001	492594	103
494.612	0.001	494612	104
495.79	0.001	495790	9
497.188	0.001	497188	29
498.027	0.001	498027	61
499.205	0.001	499205	49
499.735	0.001	499735	103
501.003	0.001	501003	104
501.822	0.001	501822	12
503.22	0.001	503220	32
504.728	0.001	504728	60
505.237	0.001	505237	52
505.736	0.001	505736	103
507.943	0.001	507943	104
508.992	0.001	508992	2
510.39	0.001	510390	22
511.099	0.001	511099	61
512.407	0.001	512407	42
513.076	0.001	513076	101
516.981	0.001	516981	9
518.379	0.001	518379	29
519.887	0.001	519887	60
520.397	0.001	520397	49
521.425	0.001	521425	103
523.502	0.001	523502	104
524.391	0.001	524391	6
525.779	0.001	525779	26
527.287	0.001	527287	60
527.797	0.001	527797	46
528.356	0.001	528356	101
530.173	0.001	530173	102
531.122	0.001	531122	2
532.52	0.001	532520	22
533.569	0.001	533569	61
534.537	0.001	534537	42
534.927	0.001	534927	101
536.754	0.001	536754	102
537.683	0.001	537683	4
539.081	0.001	539081	24
539.511	0.001	539511	61
541.098	0.001	541098	44
541.578	0.001	541578	101
545.922	0.001	545922	12
547.31	0.001	547310	32
548.828	0.001	548828	60
549.327	0.001	549327	52
549.996	0.001	549996	103
551.155	0.001	551155	104
552.343	0.001	552343	4
553.731	0.001	553731	24
554.38	0.001	554380	61
555.749	0.001	555749	44
556.238	0.001	556238	101
558.405	0.001	558405	102
559.434	0.001	559434	5
560.832	0.001	560832	25
562.34	0.001	562340	60
562.839	0.001	562839	45
563.308	0.001	563308	101
564.607	0.001	564607	102
565.855	0.001	565855	9
567.253	0.001	567253	29
568.761	0.001	568761	60
569.26	0.001	569260	49
569.72	0.001	569720	103
571.457	0.001	571457	104
572.276	0.001	572276	8
573.674	0.001	573674	28
574.443	0.001	574443	62
575.691	0.001	575691	48
576.221	0.001	576221	103
577.799	0.001	577799	104
578.977	0.001	578977	10
580.375	0.001	580375	30
581.124	0.001	581124	62
582.392	0.001	582392	50
582.902	0.001	582902	103
584.629	0.001	584629	104
585.778	0.001	585778	2
587.166	0.001	587166	22
587.675	0.001	587675	61
589.183	0.001	589183	42
589.623	0.001	589623	101
592.019	0.001	592019	102
593.148	0.001	593148	2
594.546	0.001	594546	22
595.045	0.001	595045	61
596.563	0.001	596563	42
597.182	0.001	597182	101
599.16	0.001	599160	102
600.178	0.001	600178	1
601.576	0.001	601576	21
602.196	0.001	602196	62
603.594	0.001	603594	41
604.043	0.001	604043	101
606.23	0.001	606230	102
607.279	0.001	607279	4
608.667	0.001	608667	24
609.266	0.001	609266	61
610.684	0.001	610684	44
611.103	0.001	611103	101
613.171	0.001	613171	102
614.239	0.001	614239	4
615.637	0.001	615637	24
616.027	0.001	616027	61
617.655	0.001	617655	44
618.074	0.001	618074	101
619.891	0.001	619891	102
621.13	0.001	621130	12
622.528	0.001	622528	32
624.036	0.001	624036	60
624.545	0.001	624545	52
625.264	0.001	625264	103
626.273	0.001	626273	104
627.301	0.001	627301	10
628.7	0.001	628700	30
629.508	0.001	629508	62
630.717	0.001	630717	50
631.356	0.001	631356	103
633.513	0.001	633513	104
634.382	0.001	634382	8
635.78	0.001	635780	28
636.379	0.001	636379	62
637.797	0.001	637797	48
638.187	0.001	638187	103
640.164	0.001	640164	104
641.382	0.001	641382	5
642.78	0.001	642780	25
644.288	0.001	644288	60
644.788	0.001	644788	45
645.357	0.001	645357	101
646.725	0.001	646725	102
647.754	0.001	647754	11
649.152	0.001	649152	31
650.67	0.001	650670	60
651.169	0.001	651169	51
651.678	0.001	651678	103
653.276	0.001	653276	104
654.335	0.001	654335	6
655.733	0.001	655733	26
657.241	0.001	657241	60
657.75	0.001	657750	46
658.339	0.001	658339	103
659.947	0.001	659947	104
660.916	0.001	660916	1
662.304	0.001	662304	21
663.293	0.001	663293	62
664.321	0.001	664321	41
664.811	0.001	664811	101
666.338	0.001	666338	102
667.487	0.001	667487	10
668.885	0.001	668885	30
669.904	0.001	669904	62
670.902	0.001	670902	50
671.511	0.001	671511	103
672.51	0.001	672510	104
673.788	0.001	673788	10
675.186	0.001	675186	30
675.846	0.001	675846	62
677.194	0.001	677194	50
677.763	0.001	677763	103
678.931	0.001	678931	104
680.1	0.001	680100	8
681.498	0.001	681498	28
681.887	0.001	681887	62
683.505	0.001	683505	48
684.014	0.001	684014	103
685.073	0.001	685073	104
686.082	0.001	686082	11
687.48	0.001	687480	31
688.988	0.001	688988	60
689.497	0.001	689497	51
690.076	0.001	690076	103
691.464	0.001	691464	104
692.353	0.001	692353	7
693.751	0.001	693751	27
694.6	0.001	694600	61
695.758	0.001	695758	47
696.587	0.001	696587	103
698.465	0.001	698465	104
699.443	0.001	699443	10
700.842	0.001	700842	30
701.67	0.001	701670	62
702.849	0.001	702849	50
703.478	0.001	703478	103
705.026	0.001	705026	104
705.955	0.001	705955	3
707.353	0.001	707353	23
708.042	0.001	708042	62
709.37	0.001	709370	43
709.849	0.001	709849	101
711.337	0.001	711337	102
712.166	0.001	712166	2
713.554	0.001	713554	22
715.072	0.001	715072	60
715.572	0.001	715572	42
715.991	0.001	715991	101
718.088	0.001	718088	102
719.057	0.001	719057	1
720.445	0.001	720445	21
721.144	0.001	721144	62
722.462	0.001	722462	41
722.952	0.001	722952	103
724.29	0.001	724290	104
725.189	0.001	725189	8
726.587	0.001	726587	28
727.036	0.001	727036	62
728.604	0.001	728604	48
729.523	0.001	729523	103
730.621	0.001	730621	104
731.899	0.001	731899	7
733.288	0.001	733288	27
733.927	0.001	733927	61
735.305	0.001	735305	47
735.994	0.001	735994	103
738.361	0.001	738361	104
739.219	0.001	739219	3
740.618	0.001	740618	23
741.277	0.001	741277	62
742.635	0.001	742635	43
743.444	0.001	743444	101
745.651	0.001	745651	102
746.879	0.001	746879	5
748.277	0.001	748277	25
749.785	0.001	749785	60
750.294	0.001	750294	45
750.684	0.001	750684	101
753.011	0.001	753011	102
753.86	0.001	753860	6
755.258	0.001	755258	26
756.776	0.001	756776	60
757.275	0.001	757275	46
757.884	0.001	757884	101
759.881	0.001	759881	102
761.14	0.001	761140	10
762.538	0.001	762538	30
762.957	0.001	762957	62
764.555	0.001	764555	50
765.274	0.001	765274	103
767.082	0.001	767082	104
768.07	0.001	768070	5
769.458	0.001	769458	25
770.976	0.001	770976	60
771.476	0.001	771476	45
771.995	0.001	771995	101
773.443	0.001	773443	102
774.272	0.001	774272	8
775.66	0.001	775660	28
776.988	0.001	776988	62
777.677	0.001	777677	48
778.366	0.001	778366	103
780.903	0.001	780903	104
782.031	0.001	782031	5
783.429	0.001	783429	25
784.937	0.001	784937	60
785.447	0.001	785447	45
786.146	0.001	786146	101
788.183	0.001	788183	102
789.062	0.001	789062	8
790.46	0.001	790460	28
791.119	0.001	791119	62
792.477	0.001	792477	48
793.136	0.001	793136	103
794.994	0.001	794994	104
795.942	0.001	795942	2
797.341	0.001	797341	22
798.659	0.001	798659	61
799.348	0.001	799348	42
799.987	0.001	799987	101
800.966	0.001	800966	102
801.984	0.001	801984	3
803.382	0.001	803382	23
804.091	0.001	804091	62
805.4	0.001	805400	43
806.278	0.001	806278	101
808.396	0.001	808396	102
809.364	0.001	809364	11
810.752	0.001	810752	31
812.26	0.001	812260	60
812.77	0.001	812770	51
813.279	0.001	813279	103
814.927	0.001	814927	104
815.706	0.001	815706	8
817.104	0.001	817104	28
817.613	0.001	817613	62
819.121	0.001	819121	48
819.58	0.001	819580	103
821.228	0.001	821228	104
822.357	0.001	822357	11
823.755	0.001	823755	31
825.273	0.001	825273	60
825.772	0.001	825772	51
826.371	0.001	826371	103
827.909	0.001	827909	104
829.127	0.001	829127	6
830.526	0.001	830526	26
832.033	0.001	832033	60
832.543	0.001	832543	46
833.272	0.001	833272	101
834.131	0.001	834131	102
834.999	0.001	834999	9
836.398	0.001	836398	29
837.117	0.001	837117	61
838.415	0.001	838415	49
839.224	0.001	839224	103
841.151	0.001	841151	104
842.27	0.001	842270	7
843.658	0.001	843658	27
844.297	0.001	844297	61
845.675	0.001	845675	47
846.414	0.001	846414	103
848.261	0.001	848261	104
849.47	0.001	849470	9
850.868	0.001	850868	29
851.347	0.001	851347	61
852.885	0.001	852885	49
853.664	0.001	853664	103
854.783	0.001	854783	104
855.611	0.001	855611	7
857.01	0.001	857010	27
857.609	0.001	857609	61
859.027	0.001	859027	47
859.816	0.001	859816	103
860.804	0.001	860804	104
861.763	0.001	861763	12
863.161	0.001	863161	32
864.679	0.001	864679	60
865.178	0.001	865178	52
865.478	0.001	865478	103
867.216	0.001	867216	104
868.005	0.001	868005	5
869.393	0.001	869393	25
870.901	0.001	870901	60
871.41	0.001	871410	45
872.089	0.001	872089	101
873.297	0.001	873297	102
874.206	0.001	874206	3
875.604	0.001	875604	23
876.493	0.001	876493	62
877.612	0.001	877612	43
878.66	0.001	878660	101
879.988	0.001	879988	102
880.887	0.001	880887	3
882.285	0.001	882285	23
883.234	0.001	883234	62
884.303	0.001	884303	43
885.101	0.001	885101	101
886.849	0.001	886849	102
887.668	0.001	887668	6
889.066	0.001	889066	26
890.584	0.001	890584	60
891.083	0.001	891083	46
891.942	0.001	891942	101
896.047	0.001	896047	10
897.445	0.001	897445	30
897.954	0.001	897954	62
899.452	0.001	899452	50
900.251	0.001	900251	103
902.118	0.001	902118	104
903.207	0.001	903207	9
904.595	0.001	904595	29
905.154	0.001	905154	61
906.612	0.001	906612	49
907.092	0.001	907092	103
908.44	0.001	908440	104
909.378	0.001	909378	6
910.767	0.001	910767	26
912.285	0.001	912285	60
912.784	0.001	912784	46
913.333	0.001	913333	101
915.161	0.001	915161	102
916.109	0.001	916109	6
917.507	0.001	917507	26
919.015	0.001	919015	60
919.525	0.001	919525	46
920.114	0.001	920114	101
921.522	0.001	921522	102
922.331	0.001	922331	11
923.719	0.001	923719	31
925.227	0.001	925227	60
925.736	0.001	925736	51
926.435	0.001	926435	103
927.773	0.001	927773	104
928.812	0.001	928812	5
930.21	0.001	930210	25
931.718	0.001	931718	60
932.227	0.001	932227	45
932.727	0.001	932727	101
934.235	0.001	934235	102
935.104	0.001	935104	1
936.502	0.001	936502	21
937.6	0.001	937600	62
938.519	0.001	938519	41
939.388	0.001	939388	101
940.786	0.001	940786	102
941.735	0.001	941735	4
943.123	0.001	943123	24
943.772	0.001	943772	61
945.14	0.001	945140	44
945.889	0.001	945889	101
947.986	0.001	947986	102
948.795	0.001	948795	4
950.193	0.001	950193	24
950.792	0.001	950792	61
952.2	0.001	952200	44
952.939	0.001	952939	101
957.064	0.001	957064	3
958.452	0.001	958452	23
958.921	0.001	958921	62
960.469	0.001	960469	43
961.188	0.001	961188	101
963.455	0.001	963455	102
964.424	0.001	964424	5
965.812	0.001	965812	25
967.32	0.001	967320	60
967.829	0.001	967829	45
968.468	0.001	968468	101
969.567	0.001	969567	102
970.625	0.001	970625	10
972.013	0.001	972013	30
972.702	0.001	972702	62
974.031	0.001	974031	50
974.8	0.001	974800	103
976.397	0.001	976397	104
977.226	0.001	977226	5
978.624	0.001	978624	25
980.142	0.001	980142	60
980.642	0.001	980642	45
981.281	0.001	981281	101
983.658	0.001	983658	102
984.526	0.001	984526	12
985.925	0.001	985925	32
987.432	0.001	987432	60
987.942	0.001	987942	52
988.421	0.001	988421	103
989.799	0.001	989799	104
990.888	0.001	990888	8
992.286	0.001	992286	28
992.945	0.001	992945	62
994.293	0.001	994293	48
994.952	0.001	994952	103
996.96	0.001	996960	104
998.218	0.001	998218	10
999.606	0.001	999606	30
1000.355	0.001	1000355	62
1001.623	0.001	1001623	50
1002.113	0.001	1002113	103
1003.551	0.001	1003551	104
1004.539	0.001	1004539	12
1005.937	0.001	1005937	32
1007.455	0.001	1007455	60
1007.955	0.001	1007955	52
1008.344	0.001	1008344	103
1009.532	0.001	1009532	104
1010.761	0.001	1010761	4
1012.159	0.001	1012159	24
1012.888	0.001	1012888	61
1014.176	0.001	1014176	44
1014.636	0.001	1014636	101
1016.004	0.001	1016004	102
1016.873	0.001	1016873	11
1018.261	0.001	1018261	31
1019.779	0.001	1019779	60
1020.278	0.001	1020278	51
1020.857	0.001	1020857	103
1021.736	0.001	1021736	104
1022.824	0.001	1022824	4
1024.223	0.001	1024223	24
1024.852	0.001	1024852	61
1026.24	0.001	1026240	44
1026.719	0.001	1026719	101
1027.608	0.001	1027608	102
1028.687	0.001	1028687	6
1030.075	0.001	1030075	26
1031.583	0.001	1031583	60
1032.092	0.001	1032092	46
1032.751	0.001	1032751	101
1034.748	0.001	1034748	102
1035.697	0.001	1035697	7
1037.095	0.001	1037095	27
1038.004	0.001	1038004	61
1039.102	0.001	1039102	47
1039.592	0.001	1039592	103
1041.02	0.001	1041020	104
1042.258	0.001	1042258	1
1043.656	0.001	1043656	21
1044.495	0.001	1044495	62
1045.673	0.001	1045673	41
1046.362	0.001	1046362	101
1047.561	0.001	1047561	102
1048.4	0.001	1048400	5
1049.798	0.001	1049798	25
1051.306	0.001	1051306	60
1051.815	0.001	1051815	45
1052.294	0.001	1052294	101
1054.142	0.001	1054142	102
1055.4	0.001	1055400	7
1056.798	0.001	1056798	27
1057.677	0.001	1057677	61
1058.816	0.001	1058816	47
1059.325	0.001	1059325	103
1061.122	0.001	1061122	104
1061.951	0.001	1061951	1
1063.339	0.001	1063339	21
1064.178	0.001	1064178	62
1065.357	0.001	1065357	41
1065.986	0.001	1065986	101
1067.324	0.001	1067324	102
1068.133	0.001	1068133	3
1069.531	0.001	1069531	23
1070.27	0.001	1070270	62
1071.548	0.001	1071548	43
1072.018	0.001	1072018	101
1072.996	0.001	1072996	102
1074.075	0.001	1074075	1
1075.473	0.001	1075473	21
1076.052	0.001	1076052	62
1077.48	0.001	1077480	41
1078.229	0.001	1078229	101
1079.238	0.001	1079238	102
1080.416	0.001	1080416	3
1081.814	0.001	1081814	23
1082.354	0.001	1082354	62
1083.822	0.001	1083822	43
1084.421	0.001	1084421	101
1085.859	0.001	1085859	102
1086.997	0.001	1086997	11
1088.385	0.001	1088385	31
1089.903	0.001	1089903	60
1090.403	0.001	1090403	51
1090.982	0.001	1090982	103
1093.109	0.001	1093109	104
1094.347	0.001	1094347	10
1095.745	0.001	1095745	30
1096.335	0.001	1096335	62
1097.763	0.001	1097763	50
1098.482	0.001	1098482	103
1099.171	0.001	1099171	104
1100.06	0.001	1100060	11
1101.448	0.001	1101448	31
1102.966	0.001	1102966	60
1103.465	0.001	1103465	51
1103.934	0.001	1103934	103
1105.462	0.001	1105462	104
1106.651	0.001	1106651	9
1108.039	0.001	1108039	29
1108.658	0.001	1108658	61
1110.056	0.001	1110056	49
1110.705	0.001	1110705	103
1112.682	0.001	1112682	104
1113.571	0.001	1113571	8
1114.969	0.001	1114969	28
1115.429	0.001	1115429	62
1116.977	0.001	1116977	48
1117.456	0.001	1117456	103
1119.264	0.001	1119264	104
1120.442	0.001	1120442	1
1121.84	0.001	1121840	21
1122.349	0.001	1122349	62
1123.857	0.001	1123857	41
1124.636	0.001	1124636	101
1128.471	0.001	1128471	9
1129.869	0.001	1129869	29
1130.259	0.001	1130259	61
1131.886	0.001	1131886	49
1132.526	0.001	1132526	103
1134.263	0.001	1134263	104
1135.252	0.001	1135252	3
1136.65	0.001	1136650	23
1137.858	0.001	1137858	62
1138.667	0.001	1138667	43
1139.226	0.001	1139226	101
1141.134	0.001	1141134	102
1142.292	0.001	1142292	2
1143.68	0.001	1143680	22
1144.26	0.001	1144260	61
1145.698	0.001	1145698	42
1145.748	0.001	1145748	101
1148.264	0.001	1148264	102
1149.303	0.001	1149303	2
1150.701	0.001	1150701	22
1152.209	0.001	1152209	60
1152.718	0.001	1152718	42
1153.387	0.001	1153387	101
1154.745	0.001	1154745	102
1155.884	0.001	1155884	12
1157.272	0.001	1157272	32
1158.79	0.001	1158790	60
1159.299	0.001	1159299	52
1159.898	0.001	1159898	103
1161.187	0.001	1161187	104
1161.986	0.001	1161986	12
1163.384	0.001	1163384	32
1164.902	0.001	1164902	60
1165.401	0.001	1165401	52
1165.9	0.001	1165900	103
1167.089	0.001	1167089	104
1168.227	0.001	1168227	7
1169.625	0.001	1169625	27
1170.055	0.001	1170055	61
1171.632	0.001	1171632	47
1172.232	0.001	1172232	103
1173.37	0.001	1173370	104
1174.489	0.001	1174489	12
1175.887	0.001	1175887	32
1177.395	0.001	1177395	60
1177.904	0.001	1177904	52
1178.403	0.001	1178403	103
1179.592	0.001	1179592	104
1180.77	0.001	1180770	11
1182.168	0.001	1182168	31
1183.676	0.001	1183676	60
1184.185	0.001	1184185	51
1184.655	0.001	1184655	103
1185.973	0.001	1185973	104
1186.942	0.001	1186942	8
1188.34	0.001	1188340	28
