onset	duration	sample	trigger
12.454	0.001	12454	254
14.84	0.001	14840	201
16.538	0.001	16538	5
17.936	0.001	17936	25
19.424	0.001	19424	60
19.934	0.001	19934	45
20.543	0.001	20543	101
22.61	0.001	22610	102
23.509	0.001	23509	8
24.907	0.001	24907	28
25.676	0.001	25676	62
26.914	0.001	26914	48
27.413	0.001	27413	103
29.8	0.001	29800	104
30.949	0.001	30949	2
32.347	0.001	32347	22
32.946	0.001	32946	61
34.364	0.001	34364	42
34.863	0.001	34863	101
37.1	0.001	37100	102
38.009	0.001	38009	1
39.407	0.001	39407	21
40.476	0.001	40476	62
41.424	0.001	41424	41
41.834	0.001	41834	101
44.38	0.001	44380	102
45.549	0.001	45549	1
46.937	0.001	46937	21
47.586	0.001	47586	62
48.954	0.001	48954	41
49.364	0.001	49364	101
51.631	0.001	51631	102
52.839	0.001	52839	2
54.237	0.001	54237	22
54.906	0.001	54906	61
56.254	0.001	56254	42
57.513	0.001	57513	101
58.032	0.001	58032	102
58.821	0.001	58821	11
60.219	0.001	60219	31
61.737	0.001	61737	60
62.236	0.001	62236	51
62.685	0.001	62685	103
64.922	0.001	64922	104
66.141	0.001	66141	5
67.529	0.001	67529	25
69.037	0.001	69037	60
69.536	0.001	69536	45
70.055	0.001	70055	101
72.962	0.001	72962	102
73.99	0.001	73990	9
75.378	0.001	75378	29
76.167	0.001	76167	61
77.396	0.001	77396	49
78.025	0.001	78025	103
79.742	0.001	79742	104
80.921	0.001	80921	3
82.319	0.001	82319	23
82.908	0.001	82908	62
84.326	0.001	84326	43
84.785	0.001	84785	101
87.542	0.001	87542	102
88.341	0.001	88341	2
89.739	0.001	89739	22
90.458	0.001	90458	61
91.756	0.001	91756	42
92.245	0.001	92245	101
95.291	0.001	95291	102
96.09	0.001	96090	8
97.488	0.001	97488	28
98.067	0.001	98067	62
99.496	0.001	99496	48
99.995	0.001	99995	103
102.262	0.001	102262	104
103.33	0.001	103330	5
104.728	0.001	104728	25
106.226	0.001	106226	60
106.736	0.001	106736	45
107.345	0.001	107345	101
111.589	0.001	111589	9
112.987	0.001	112987	29
113.926	0.001	113926	61
114.985	0.001	114985	49
115.394	0.001	115394	103
117.371	0.001	117371	104
118.48	0.001	118480	7
119.878	0.001	119878	27
121.376	0.001	121376	60
121.875	0.001	121875	47
122.364	0.001	122364	103
123.902	0.001	123902	104
124.821	0.001	124821	4
126.219	0.001	126219	24
126.778	0.001	126778	61
128.237	0.001	128237	44
128.676	0.001	128676	101
130.643	0.001	130643	102
131.592	0.001	131592	4
132.98	0.001	132980	24
133.999	0.001	133999	61
134.977	0.001	134977	44
135.417	0.001	135417	101
137.614	0.001	137614	102
138.493	0.001	138493	6
139.891	0.001	139891	26
141.389	0.001	141389	60
141.888	0.001	141888	46
142.907	0.001	142907	101
144.734	0.001	144734	102
145.593	0.001	145593	8
146.981	0.001	146981	28
147.57	0.001	147570	62
148.988	0.001	148988	48
149.508	0.001	149508	103
151.555	0.001	151555	104
152.434	0.001	152434	4
153.832	0.001	153832	24
154.301	0.001	154301	61
155.849	0.001	155849	44
156.318	0.001	156318	101
158.675	0.001	158675	102
159.684	0.001	159684	7
161.082	0.001	161082	27
161.521	0.001	161521	61
163.089	0.001	163089	47
163.489	0.001	163489	103
166.045	0.001	166045	104
167.134	0.001	167134	5
168.532	0.001	168532	25
170.03	0.001	170030	60
170.529	0.001	170529	45
170.968	0.001	170968	101
172.786	0.001	172786	102
173.875	0.001	173875	1
175.273	0.001	175273	21
175.792	0.001	175792	62
177.27	0.001	177270	41
177.719	0.001	177719	101
179.567	0.001	179567	102
180.735	0.001	180735	12
182.123	0.001	182123	32
183.621	0.001	183621	60
184.131	0.001	184131	52
184.69	0.001	184690	103
187.067	0.001	187067	104
188.135	0.001	188135	5
189.533	0.001	189533	25
191.031	0.001	191031	60
191.541	0.001	191541	45
192.05	0.001	192050	101
196.534	0.001	196534	8
197.932	0.001	197932	28
198.801	0.001	198801	62
199.929	0.001	199929	48
200.399	0.001	200399	103
201.847	0.001	201847	104
202.965	0.001	202965	1
204.363	0.001	204363	21
205.082	0.001	205082	62
206.36	0.001	206360	41
206.8	0.001	206800	101
208.647	0.001	208647	102
209.516	0.001	209516	7
210.914	0.001	210914	27
211.414	0.001	211414	61
212.912	0.001	212912	47
213.241	0.001	213241	103
215.318	0.001	215318	104
216.327	0.001	216327	6
217.725	0.001	217725	26
219.233	0.001	219233	60
219.732	0.001	219732	46
220.421	0.001	220421	101
221.939	0.001	221939	102
222.758	0.001	222758	6
224.156	0.001	224156	26
225.654	0.001	225654	60
226.164	0.001	226164	46
226.563	0.001	226563	101
228.69	0.001	228690	102
229.579	0.001	229579	1
230.967	0.001	230967	21
231.746	0.001	231746	62
232.984	0.001	232984	41
233.514	0.001	233514	101
234.972	0.001	234972	102
235.98	0.001	235980	12
237.378	0.001	237378	32
238.886	0.001	238886	60
239.396	0.001	239396	52
239.765	0.001	239765	103
242.282	0.001	242282	104
243.54	0.001	243540	8
244.938	0.001	244938	28
245.647	0.001	245647	62
246.935	0.001	246935	48
247.455	0.001	247455	103
250.56	0.001	250560	104
251.539	0.001	251539	6
252.937	0.001	252937	26
254.435	0.001	254435	60
254.944	0.001	254944	46
255.444	0.001	255444	101
256.632	0.001	256632	102
257.621	0.001	257621	5
259.019	0.001	259019	25
260.527	0.001	260527	60
261.036	0.001	261036	45
261.675	0.001	261675	101
263.753	0.001	263753	102
264.561	0.001	264561	9
265.96	0.001	265960	29
266.599	0.001	266599	61
267.957	0.001	267957	49
268.456	0.001	268456	103
270.783	0.001	270783	104
271.852	0.001	271852	1
273.25	0.001	273250	21
274.039	0.001	274039	62
275.257	0.001	275257	41
275.726	0.001	275726	101
278.063	0.001	278063	102
278.922	0.001	278922	5
280.32	0.001	280320	25
281.828	0.001	281828	60
282.327	0.001	282327	45
283.036	0.001	283036	101
285.523	0.001	285523	102
286.761	0.001	286761	7
288.159	0.001	288159	27
288.789	0.001	288789	61
290.177	0.001	290177	47
290.656	0.001	290656	103
292.983	0.001	292983	104
293.991	0.001	293991	10
295.39	0.001	295390	30
296.039	0.001	296039	62
297.407	0.001	297407	50
297.856	0.001	297856	103
299.504	0.001	299504	104
300.543	0.001	300543	11
301.941	0.001	301941	31
303.449	0.001	303449	60
303.948	0.001	303948	51
304.437	0.001	304437	103
306.185	0.001	306185	104
307.184	0.001	307184	4
308.582	0.001	308582	24
309.321	0.001	309321	61
310.579	0.001	310579	44
311.448	0.001	311448	103
313.815	0.001	313815	104
314.873	0.001	314873	8
316.261	0.001	316261	28
316.9	0.001	316900	62
318.279	0.001	318279	48
319.127	0.001	319127	103
321.504	0.001	321504	104
322.633	0.001	322633	12
324.031	0.001	324031	32
325.539	0.001	325539	60
326.048	0.001	326048	52
326.837	0.001	326837	103
328.984	0.001	328984	104
329.833	0.001	329833	3
331.231	0.001	331231	23
331.71	0.001	331710	62
333.248	0.001	333248	43
333.628	0.001	333628	101
335.745	0.001	335745	102
336.963	0.001	336963	10
338.361	0.001	338361	30
338.911	0.001	338911	62
340.378	0.001	340378	50
342.645	0.001	342645	103
345.102	0.001	345102	11
346.5	0.001	346500	31
347.998	0.001	347998	60
348.507	0.001	348507	51
348.907	0.001	348907	103
351.374	0.001	351374	104
352.562	0.001	352562	10
353.95	0.001	353950	30
354.579	0.001	354579	62
355.967	0.001	355967	50
356.577	0.001	356577	103
358.624	0.001	358624	104
359.682	0.001	359682	2
361.08	0.001	361080	22
361.57	0.001	361570	61
363.098	0.001	363098	42
363.657	0.001	363657	101
365.824	0.001	365824	102
366.633	0.001	366633	8
368.031	0.001	368031	28
368.69	0.001	368690	62
370.048	0.001	370048	48
371.137	0.001	371137	101
373.494	0.001	373494	102
374.382	0.001	374382	9
375.78	0.001	375780	29
376.499	0.001	376499	61
377.778	0.001	377778	49
378.467	0.001	378467	103
381.463	0.001	381463	104
382.262	0.001	382262	2
383.65	0.001	383650	22
384.329	0.001	384329	61
385.667	0.001	385667	42
386.226	0.001	386226	101
388.563	0.001	388563	102
389.572	0.001	389572	11
390.96	0.001	390960	31
392.468	0.001	392468	60
392.967	0.001	392967	51
393.536	0.001	393536	103
395.823	0.001	395823	104
396.682	0.001	396682	9
398.08	0.001	398080	29
398.709	0.001	398709	61
400.097	0.001	400097	49
400.647	0.001	400647	103
403.003	0.001	403003	104
403.822	0.001	403822	8
405.22	0.001	405220	28
406.718	0.001	406718	60
407.228	0.001	407228	48
407.767	0.001	407767	103
409.275	0.001	409275	104
410.174	0.001	410174	3
411.572	0.001	411572	23
412.081	0.001	412081	62
413.589	0.001	413589	43
414.418	0.001	414418	101
416.515	0.001	416515	102
417.694	0.001	417694	10
419.092	0.001	419092	30
420.24	0.001	420240	62
421.089	0.001	421089	50
421.498	0.001	421498	103
423.596	0.001	423596	104
424.864	0.001	424864	7
426.262	0.001	426262	27
427.121	0.001	427121	61
428.279	0.001	428279	47
430.027	0.001	430027	103
433.332	0.001	433332	6
434.73	0.001	434730	26
436.248	0.001	436248	60
436.748	0.001	436748	46
437.597	0.001	437597	101
438.685	0.001	438685	102
439.634	0.001	439634	10
441.032	0.001	441032	30
441.681	0.001	441681	62
443.029	0.001	443029	50
443.558	0.001	443558	103
446.764	0.001	446764	104
447.803	0.001	447803	1
449.201	0.001	449201	21
449.84	0.001	449840	62
451.218	0.001	451218	41
451.667	0.001	451667	101
453.235	0.001	453235	102
454.394	0.001	454394	5
455.792	0.001	455792	25
457.29	0.001	457290	60
457.799	0.001	457799	45
458.189	0.001	458189	101
460.026	0.001	460026	102
460.885	0.001	460885	4
462.273	0.001	462273	24
463.282	0.001	463282	61
464.28	0.001	464280	44
464.8	0.001	464800	101
467.276	0.001	467276	102
468.435	0.001	468435	6
469.823	0.001	469823	26
471.321	0.001	471321	60
471.82	0.001	471820	46
472.359	0.001	472359	101
475.215	0.001	475215	102
475.994	0.001	475994	1
477.393	0.001	477393	21
477.972	0.001	477972	62
479.39	0.001	479390	41
480.079	0.001	480079	101
482.575	0.001	482575	102
483.804	0.001	483804	9
485.202	0.001	485202	29
485.901	0.001	485901	61
487.219	0.001	487219	49
487.888	0.001	487888	103
489.356	0.001	489356	104
490.565	0.001	490565	12
491.963	0.001	491963	32
493.471	0.001	493471	60
493.97	0.001	493970	52
494.689	0.001	494689	103
498.953	0.001	498953	2
500.351	0.001	500351	22
500.881	0.001	500881	61
502.359	0.001	502359	42
502.858	0.001	502858	101
504.795	0.001	504795	102
505.874	0.001	505874	4
507.272	0.001	507272	24
508.271	0.001	508271	61
509.279	0.001	509279	44
510.028	0.001	510028	101
512.525	0.001	512525	102
513.573	0.001	513573	9
514.961	0.001	514961	29
515.621	0.001	515621	61
516.969	0.001	516969	49
517.498	0.001	517498	103
520.774	0.001	520774	104
521.642	0.001	521642	10
523.041	0.001	523041	30
523.67	0.001	523670	62
525.058	0.001	525058	50
525.947	0.001	525947	103
526.626	0.001	526626	104
527.664	0.001	527664	9
529.062	0.001	529062	29
529.951	0.001	529951	61
531.06	0.001	531060	49
531.839	0.001	531839	103
532.528	0.001	532528	104
533.526	0.001	533526	8
534.914	0.001	534914	28
535.544	0.001	535544	62
536.932	0.001	536932	48
537.671	0.001	537671	103
538.5	0.001	538500	104
539.758	0.001	539758	3
541.146	0.001	541146	23
541.695	0.001	541695	62
543.163	0.001	543163	43
543.623	0.001	543623	101
546.009	0.001	546009	102
547.258	0.001	547258	6
548.646	0.001	548646	26
550.154	0.001	550154	60
550.653	0.001	550653	46
551.092	0.001	551092	101
553.469	0.001	553469	102
554.608	0.001	554608	3
555.996	0.001	555996	23
556.545	0.001	556545	62
558.023	0.001	558023	43
558.482	0.001	558482	101
560.639	0.001	560639	102
561.778	0.001	561778	3
563.176	0.001	563176	23
563.605	0.001	563605	62
565.193	0.001	565193	43
565.703	0.001	565703	101
568.139	0.001	568139	102
569.328	0.001	569328	12
570.726	0.001	570726	32
572.214	0.001	572214	60
572.723	0.001	572723	52
573.232	0.001	573232	103
575.719	0.001	575719	104
576.837	0.001	576837	5
578.236	0.001	578236	25
579.754	0.001	579754	60
580.253	0.001	580253	45
580.772	0.001	580772	101
584.098	0.001	584098	102
585.136	0.001	585136	4
586.534	0.001	586534	24
587.124	0.001	587124	61
588.552	0.001	588552	44
588.991	0.001	588991	101
593.485	0.001	593485	6
594.873	0.001	594873	26
596.381	0.001	596381	60
596.89	0.001	596890	46
597.33	0.001	597330	101
