onset	duration	sample	trigger
258.019	0.001	258019	201
259.837	0.001	259837	7
261.235	0.001	261235	27
261.884	0.001	261884	61
263.252	0.001	263252	47
263.951	0.001	263951	103
266.508	0.001	266508	104
267.397	0.001	267397	1
268.795	0.001	268795	21
269.634	0.001	269634	62
270.802	0.001	270802	41
271.551	0.001	271551	101
272.62	0.001	272620	102
273.429	0.001	273429	9
274.827	0.001	274827	29
275.506	0.001	275506	61
276.844	0.001	276844	49
277.373	0.001	277373	103
279.261	0.001	279261	104
280.429	0.001	280429	11
281.827	0.001	281827	31
283.335	0.001	283335	60
283.834	0.001	283834	51
284.583	0.001	284583	103
285.932	0.001	285932	104
286.721	0.001	286721	12
288.119	0.001	288119	32
289.617	0.001	289617	60
290.116	0.001	290116	52
290.695	0.001	290695	103
293.152	0.001	293152	104
294.32	0.001	294320	8
295.718	0.001	295718	28
296.327	0.001	296327	62
297.726	0.001	297726	48
298.355	0.001	298355	103
299.933	0.001	299933	104
300.851	0.001	300851	6
302.239	0.001	302239	26
303.757	0.001	303757	60
304.257	0.001	304257	46
304.696	0.001	304696	101
306.723	0.001	306723	102
307.912	0.001	307912	7
309.31	0.001	309310	27
309.949	0.001	309949	61
311.317	0.001	311317	47
311.836	0.001	311836	103
313.115	0.001	313115	104
314.163	0.001	314163	8
315.551	0.001	315551	28
316.181	0.001	316181	62
317.569	0.001	317569	48
317.728	0.001	317728	103
320.225	0.001	320225	104
321.144	0.001	321144	9
322.542	0.001	322542	29
323.151	0.001	323151	61
324.559	0.001	324559	49
324.839	0.001	324839	103
326.746	0.001	326746	104
327.655	0.001	327655	2
329.053	0.001	329053	22
329.692	0.001	329692	61
331.07	0.001	331070	42
332.029	0.001	332029	101
334.426	0.001	334426	102
335.544	0.001	335544	10
336.942	0.001	336942	30
337.532	0.001	337532	62
338.96	0.001	338960	50
339.269	0.001	339269	103
340.987	0.001	340987	104
342.145	0.001	342145	3
343.543	0.001	343543	23
344.113	0.001	344113	62
345.551	0.001	345551	43
346.18	0.001	346180	101
348.377	0.001	348377	102
349.565	0.001	349565	4
350.953	0.001	350953	24
351.772	0.001	351772	61
352.971	0.001	352971	44
354.159	0.001	354159	101
355.347	0.001	355347	102
356.246	0.001	356246	11
357.644	0.001	357644	31
359.142	0.001	359142	60
359.641	0.001	359641	51
359.681	0.001	359681	103
362.977	0.001	362977	104
364.036	0.001	364036	10
365.424	0.001	365424	30
366.013	0.001	366013	62
367.441	0.001	367441	50
367.94	0.001	367940	103
369.348	0.001	369348	104
370.327	0.001	370327	12
371.725	0.001	371725	32
373.223	0.001	373223	60
373.732	0.001	373732	52
373.992	0.001	373992	103
376.668	0.001	376668	104
377.687	0.001	377687	3
379.085	0.001	379085	23
379.914	0.001	379914	62
381.102	0.001	381102	43
381.482	0.001	381482	101
383.309	0.001	383309	102
384.268	0.001	384268	1
385.666	0.001	385666	21
386.245	0.001	386245	62
387.663	0.001	387663	41
388.073	0.001	388073	103
390.959	0.001	390959	104
391.848	0.001	391848	2
393.246	0.001	393246	22
394.055	0.001	394055	61
395.253	0.001	395253	42
395.643	0.001	395643	101
398.289	0.001	398289	102
399.098	0.001	399098	4
400.496	0.001	400496	24
401.145	0.001	401145	61
402.493	0.001	402493	44
402.963	0.001	402963	101
404.65	0.001	404650	102
405.799	0.001	405799	5
407.197	0.001	407197	25
408.685	0.001	408685	60
409.194	0.001	409194	45
409.743	0.001	409743	101
410.942	0.001	410942	102
412.14	0.001	412140	6
413.538	0.001	413538	26
415.036	0.001	415036	60
415.546	0.001	415546	46
415.855	0.001	415855	101
417.743	0.001	417743	102
418.891	0.001	418891	5
420.289	0.001	420289	25
421.797	0.001	421797	60
422.306	0.001	422306	45
422.926	0.001	422926	101
423.994	0.001	423994	102
424.234	0.001	424234	255
505.151	0.001	505151	254
508.507	0.001	508507	201
510.185	0.001	510185	5
511.583	0.001	511583	25
513.081	0.001	513081	60
513.58	0.001	513580	45
514.099	0.001	514099	101
514.898	0.001	514898	102
515.907	0.001	515907	3
517.305	0.001	517305	23
517.954	0.001	517954	62
519.302	0.001	519302	43
519.602	0.001	519602	101
521.23	0.001	521230	102
522.468	0.001	522468	5
523.866	0.001	523866	25
525.364	0.001	525364	60
525.863	0.001	525863	45
526.383	0.001	526383	101
527.571	0.001	527571	102
528.779	0.001	528779	9
530.177	0.001	530177	29
530.687	0.001	530687	61
532.195	0.001	532195	49
532.604	0.001	532604	103
533.653	0.001	533653	104
534.691	0.001	534691	6
536.089	0.001	536089	26
537.597	0.001	537597	60
538.107	0.001	538107	46
538.396	0.001	538396	101
539.745	0.001	539745	102
541.023	0.001	541023	10
542.411	0.001	542411	30
543.11	0.001	543110	62
544.428	0.001	544428	50
544.708	0.001	544708	103
547.304	0.001	547304	104
548.113	0.001	548113	9
549.511	0.001	549511	29
550.09	0.001	550090	61
551.519	0.001	551519	49
552.098	0.001	552098	103
553.995	0.001	553995	104
555.224	0.001	555224	12
556.622	0.001	556622	32
558.13	0.001	558130	60
558.629	0.001	558629	52
559.058	0.001	559058	103
560.007	0.001	560007	104
560.796	0.001	560796	11
562.194	0.001	562194	31
563.692	0.001	563692	60
564.201	0.001	564201	51
564.621	0.001	564621	103
566.558	0.001	566558	104
567.507	0.001	567507	5
568.905	0.001	568905	25
570.423	0.001	570423	60
570.922	0.001	570922	45
571.092	0.001	571092	101
572.75	0.001	572750	102
573.838	0.001	573838	3
575.236	0.001	575236	23
575.845	0.001	575845	62
577.244	0.001	577244	43
577.553	0.001	577553	101
578.632	0.001	578632	102
579.52	0.001	579520	1
580.919	0.001	580919	21
581.598	0.001	581598	62
582.936	0.001	582936	41
