onset	duration	sample	trigger
18.91	0.001	18910	254
20.398	0.001	20398	201
22.335	0.001	22335	3
23.723	0.001	23723	23
25.221	0.001	25221	60
25.731	0.001	25731	43
26.12	0.001	26120	101
27.289	0.001	27289	102
28.197	0.001	28197	6
29.585	0.001	29585	26
31.093	0.001	31093	60
31.593	0.001	31593	46
31.912	0.001	31912	101
33.6	0.001	33600	102
34.698	0.001	34698	6
36.097	0.001	36097	26
37.595	0.001	37595	60
38.094	0.001	38094	46
39.142	0.001	39142	101
39.802	0.001	39802	102
40.64	0.001	40640	9
42.029	0.001	42029	29
43.536	0.001	43536	60
44.046	0.001	44046	49
44.545	0.001	44545	103
45.813	0.001	45813	104
46.592	0.001	46592	11
47.98	0.001	47980	31
49.488	0.001	49488	60
49.988	0.001	49988	51
50.467	0.001	50467	103
51.955	0.001	51955	104
52.854	0.001	52854	11
54.252	0.001	54252	31
55.76	0.001	55760	60
56.269	0.001	56269	51
56.739	0.001	56739	103
58.626	0.001	58626	104
59.465	0.001	59465	3
60.863	0.001	60863	23
62.361	0.001	62361	60
62.86	0.001	62860	43
63.579	0.001	63579	101
64.738	0.001	64738	102
65.716	0.001	65716	12
67.114	0.001	67114	32
68.612	0.001	68612	60
69.112	0.001	69112	52
69.971	0.001	69971	103
71.049	0.001	71049	104
72.078	0.001	72078	12
73.476	0.001	73476	32
74.964	0.001	74964	60
75.473	0.001	75473	52
75.893	0.001	75893	103
77.97	0.001	77970	104
79.138	0.001	79138	11
80.536	0.001	80536	31
82.044	0.001	82044	60
82.544	0.001	82544	51
83.173	0.001	83173	103
84.671	0.001	84671	104
85.809	0.001	85809	6
87.207	0.001	87207	26
88.715	0.001	88715	60
89.214	0.001	89214	46
89.983	0.001	89983	101
91.092	0.001	91092	102
92.2	0.001	92200	12
93.589	0.001	93589	32
95.086	0.001	95086	60
95.596	0.001	95596	52
95.985	0.001	95985	103
97.813	0.001	97813	104
99.021	0.001	99021	1
100.419	0.001	100419	21
101.927	0.001	101927	60
102.437	0.001	102437	41
102.936	0.001	102936	101
105.702	0.001	105702	102
106.811	0.001	106811	5
108.199	0.001	108199	25
109.707	0.001	109707	60
110.206	0.001	110206	45
110.865	0.001	110865	101
112.093	0.001	112093	102
113.042	0.001	113042	8
114.44	0.001	114440	28
115.948	0.001	115948	60
116.457	0.001	116457	48
117.206	0.001	117206	103
118.644	0.001	118644	104
119.433	0.001	119433	9
120.832	0.001	120832	29
122.329	0.001	122329	60
122.829	0.001	122829	49
123.548	0.001	123548	103
124.896	0.001	124896	104
125.955	0.001	125955	8
127.343	0.001	127343	28
128.841	0.001	128841	60
129.35	0.001	129350	48
129.739	0.001	129739	103
131.108	0.001	131108	104
132.236	0.001	132236	10
133.624	0.001	133624	30
135.132	0.001	135132	60
135.641	0.001	135641	50
136.42	0.001	136420	103
138.857	0.001	138857	104
139.686	0.001	139686	9
141.084	0.001	141084	29
142.582	0.001	142582	60
143.081	0.001	143081	49
144.1	0.001	144100	103
145.328	0.001	145328	104
146.417	0.001	146417	5
147.815	0.001	147815	25
149.313	0.001	149313	60
149.822	0.001	149822	45
150.441	0.001	150441	101
152.309	0.001	152309	102
153.108	0.001	153108	2
154.506	0.001	154506	22
156.014	0.001	156014	60
156.523	0.001	156523	42
156.913	0.001	156913	101
158.77	0.001	158770	102
159.809	0.001	159809	6
161.207	0.001	161207	26
162.705	0.001	162705	60
163.214	0.001	163214	46
163.913	0.001	163913	101
165.82	0.001	165820	102
166.769	0.001	166769	12
168.157	0.001	168157	32
169.665	0.001	169665	60
170.165	0.001	170165	52
170.874	0.001	170874	103
172.921	0.001	172921	104
173.899	0.001	173899	4
175.298	0.001	175298	24
176.796	0.001	176796	60
177.305	0.001	177305	44
177.874	0.001	177874	101
180.161	0.001	180161	102
181.14	0.001	181140	3
182.528	0.001	182528	23
184.026	0.001	184026	60
184.535	0.001	184535	43
184.964	0.001	184964	101
186.742	0.001	186742	102
188	0.001	188000	7
189.388	0.001	189388	27
190.896	0.001	190896	60
191.406	0.001	191406	47
192.205	0.001	192205	103
194.142	0.001	194142	104
195.151	0.001	195151	8
196.549	0.001	196549	28
198.057	0.001	198057	60
198.556	0.001	198556	48
199.455	0.001	199455	103
201.292	0.001	201292	104
202.191	0.001	202191	1
203.589	0.001	203589	21
205.087	0.001	205087	60
205.596	0.001	205596	41
206.096	0.001	206096	101
207.634	0.001	207634	102
208.493	0.001	208493	3
209.891	0.001	209891	23
211.399	0.001	211399	60
211.908	0.001	211908	43
212.257	0.001	212257	101
214.824	0.001	214824	102
215.653	0.001	215653	10
217.051	0.001	217051	30
218.549	0.001	218549	60
219.058	0.001	219058	50
219.767	0.001	219767	103
222.004	0.001	222004	104
223.093	0.001	223093	11
224.491	0.001	224491	31
225.999	0.001	225999	60
226.498	0.001	226498	51
226.898	0.001	226898	103
229.294	0.001	229294	104
230.293	0.001	230293	1
231.691	0.001	231691	21
233.179	0.001	233179	60
233.688	0.001	233688	41
234.188	0.001	234188	101
236.435	0.001	236435	102
237.513	0.001	237513	7
238.911	0.001	238911	27
240.419	0.001	240419	60
240.918	0.001	240918	47
241.667	0.001	241667	103
245.742	0.001	245742	3
247.14	0.001	247140	23
248.648	0.001	248648	60
249.147	0.001	249147	43
249.667	0.001	249667	101
252.663	0.001	252663	102
253.741	0.001	253741	1
255.129	0.001	255129	21
256.637	0.001	256637	60
257.136	0.001	257136	41
257.866	0.001	257866	101
259.783	0.001	259783	102
260.622	0.001	260622	9
262.02	0.001	262020	29
263.518	0.001	263518	60
264.017	0.001	264017	49
264.676	0.001	264676	103
267.832	0.001	267832	104
268.701	0.001	268701	11
270.089	0.001	270089	31
271.607	0.001	271607	60
272.106	0.001	272106	51
273.005	0.001	273005	103
275.142	0.001	275142	104
276.151	0.001	276151	7
277.549	0.001	277549	27
279.057	0.001	279057	60
279.566	0.001	279566	47
280.125	0.001	280125	103
281.144	0.001	281144	104
282.182	0.001	282182	3
283.581	0.001	283581	23
285.089	0.001	285089	60
285.598	0.001	285598	43
286.606	0.001	286606	103
288.374	0.001	288374	104
289.293	0.001	289293	3
290.681	0.001	290681	23
292.179	0.001	292179	60
292.688	0.001	292688	43
293.617	0.001	293617	101
297.462	0.001	297462	11
298.86	0.001	298860	31
300.358	0.001	300358	60
300.857	0.001	300857	51
301.596	0.001	301596	103
305.681	0.001	305681	10
307.079	0.001	307079	30
308.587	0.001	308587	60
309.096	0.001	309096	50
309.406	0.001	309406	103
312.921	0.001	312921	104
313.73	0.001	313730	9
315.128	0.001	315128	29
316.636	0.001	316636	60
317.145	0.001	317145	49
318.433	0.001	318433	103
321.03	0.001	321030	104
321.929	0.001	321929	5
323.327	0.001	323327	25
324.825	0.001	324825	60
325.324	0.001	325324	45
326.173	0.001	326173	101
329.029	0.001	329029	102
330.277	0.001	330277	12
331.675	0.001	331675	32
333.183	0.001	333183	60
333.683	0.001	333683	52
334.302	0.001	334302	103
336.059	0.001	336059	104
337.138	0.001	337138	10
338.526	0.001	338526	30
340.024	0.001	340024	60
340.533	0.001	340533	50
341.192	0.001	341192	103
344.388	0.001	344388	104
345.606	0.001	345606	7
347.004	0.001	347004	27
348.492	0.001	348492	60
349.002	0.001	349002	47
349.811	0.001	349811	103
351.638	0.001	351638	104
352.747	0.001	352747	4
354.145	0.001	354145	24
355.653	0.001	355653	60
356.152	0.001	356152	44
356.651	0.001	356651	101
359.138	0.001	359138	102
359.897	0.001	359897	10
361.295	0.001	361295	30
362.793	0.001	362793	60
363.302	0.001	363302	50
363.692	0.001	363692	103
365.979	0.001	365979	104
367.107	0.001	367107	6
368.505	0.001	368505	26
370.003	0.001	370003	60
370.513	0.001	370513	46
371.012	0.001	371012	101
373.459	0.001	373459	102
374.597	0.001	374597	1
375.995	0.001	375995	21
377.493	0.001	377493	60
377.992	0.001	377992	41
