onset	duration	sample	trigger
3.09	0.001	3090	254
190.745	0.001	190745	201
192.663	0.001	192663	11
194.061	0.001	194061	31
195.559	0.001	195559	60
196.058	0.001	196058	51
197.167	0.001	197167	103
200.662	0.001	200662	7
202.06	0.001	202060	27
203.159	0.001	203159	61
204.057	0.001	204057	47
206.125	0.001	206125	103
208.731	0.001	208731	12
210.129	0.001	210129	32
211.617	0.001	211617	60
212.136	0.001	212136	52
212.796	0.001	212796	103
216.041	0.001	216041	104
217.1	0.001	217100	9
218.498	0.001	218498	29
219.536	0.001	219536	61
220.515	0.001	220515	49
221.913	0.001	221913	103
223.042	0.001	223042	104
224.17	0.001	224170	6
225.558	0.001	225558	26
227.056	0.001	227056	60
227.565	0.001	227565	46
228.654	0.001	228654	101
231.231	0.001	231231	102
232.309	0.001	232309	5
233.707	0.001	233707	25
235.205	0.001	235205	60
235.714	0.001	235714	45
236.294	0.001	236294	101
238.221	0.001	238221	102
239.27	0.001	239270	11
240.668	0.001	240668	31
242.176	0.001	242176	60
242.685	0.001	242685	51
244.023	0.001	244023	101
245.321	0.001	245321	102
246.3	0.001	246300	2
247.698	0.001	247698	22
248.657	0.001	248657	61
249.715	0.001	249715	42
250.385	0.001	250385	101
252.631	0.001	252631	102
253.6	0.001	253600	8
254.998	0.001	254998	28
255.607	0.001	255607	62
257.006	0.001	257006	48
258.014	0.001	258014	103
259.822	0.001	259822	104
260.89	0.001	260890	7
262.288	0.001	262288	27
263.077	0.001	263077	61
264.306	0.001	264306	47
264.945	0.001	264945	103
267.741	0.001	267741	104
268.55	0.001	268550	10
269.948	0.001	269948	30
270.487	0.001	270487	62
271.965	0.001	271965	50
272.614	0.001	272614	103
274.012	0.001	274012	104
275.251	0.001	275251	6
276.649	0.001	276649	26
278.157	0.001	278157	60
278.656	0.001	278656	46
279.125	0.001	279125	101
281.223	0.001	281223	102
282.291	0.001	282291	1
283.689	0.001	283689	21
284.848	0.001	284848	62
285.707	0.001	285707	41
286.745	0.001	286745	101
287.394	0.001	287394	102
288.523	0.001	288523	5
289.921	0.001	289921	25
291.419	0.001	291419	60
291.918	0.001	291918	45
292.517	0.001	292517	101
293.426	0.001	293426	102
294.555	0.001	294555	4
295.953	0.001	295953	24
296.891	0.001	296891	61
297.95	0.001	297950	44
298.609	0.001	298609	101
301.186	0.001	301186	102
302.264	0.001	302264	8
303.652	0.001	303652	28
304.311	0.001	304311	62
305.659	0.001	305659	48
306.209	0.001	306209	103
308.196	0.001	308196	104
308.985	0.001	308985	4
310.383	0.001	310383	24
310.962	0.001	310962	61
312.4	0.001	312400	44
313.059	0.001	313059	101
313.768	0.001	313768	102
315.017	0.001	315017	12
316.415	0.001	316415	32
317.923	0.001	317923	60
318.422	0.001	318422	52
318.882	0.001	318882	103
320.589	0.001	320589	104
321.798	0.001	321798	3
323.186	0.001	323186	23
323.995	0.001	323995	62
325.203	0.001	325203	43
325.642	0.001	325642	101
327.5	0.001	327500	102
328.728	0.001	328728	10
330.126	0.001	330126	30
330.895	0.001	330895	62
332.144	0.001	332144	50
332.593	0.001	332593	101
334.42	0.001	334420	102
335.289	0.001	335289	3
336.687	0.001	336687	23
337.346	0.001	337346	62
338.705	0.001	338705	43
339.104	0.001	339104	101
340.262	0.001	340262	102
341.431	0.001	341431	2
342.829	0.001	342829	22
343.468	0.001	343468	61
344.846	0.001	344846	42
345.376	0.001	345376	101
346.035	0.001	346035	102
347.083	0.001	347083	9
348.481	0.001	348481	29
349.051	0.001	349051	61
350.479	0.001	350479	49
351.028	0.001	351028	103
351.957	0.001	351957	104
352.945	0.001	352945	1
354.343	0.001	354343	21
355.112	0.001	355112	62
356.361	0.001	356361	41
356.92	0.001	356920	101
358.917	0.001	358917	102
359.157	0.001	359157	255
457.272	0.001	457272	254
458.85	0.001	458850	201
460.737	0.001	460737	11
462.135	0.001	462135	31
463.643	0.001	463643	60
464.143	0.001	464143	51
464.722	0.001	464722	103
466.37	0.001	466370	104
467.189	0.001	467189	4
468.587	0.001	468587	24
469.066	0.001	469066	61
470.604	0.001	470604	44
471.083	0.001	471083	101
472.212	0.001	472212	102
473.101	0.001	473101	12
474.489	0.001	474489	32
475.997	0.001	475997	60
476.496	0.001	476496	52
477.075	0.001	477075	103
478.264	0.001	478264	104
479.362	0.001	479362	1
480.76	0.001	480760	21
481.419	0.001	481419	62
482.777	0.001	482777	41
483.407	0.001	483407	101
485.044	0.001	485044	102
485.943	0.001	485943	6
487.341	0.001	487341	26
488.839	0.001	488839	60
489.338	0.001	489338	46
489.728	0.001	489728	101
490.856	0.001	490856	102
491.725	0.001	491725	11
493.123	0.001	493123	31
494.611	0.001	494611	60
495.121	0.001	495121	51
495.49	0.001	495490	103
497.158	0.001	497158	104
497.977	0.001	497977	2
499.365	0.001	499365	22
500.154	0.001	500154	61
501.372	0.001	501372	42
501.961	0.001	501961	101
503.729	0.001	503729	102
504.817	0.001	504817	11
506.216	0.001	506216	31
507.704	0.001	507704	60
508.213	0.001	508213	51
508.792	0.001	508792	103
510.57	0.001	510570	104
511.538	0.001	511538	2
512.936	0.001	512936	22
513.685	0.001	513685	61
514.934	0.001	514934	42
515.423	0.001	515423	101
517.32	0.001	517320	102
518.129	0.001	518129	9
519.527	0.001	519527	29
520.187	0.001	520187	61
521.535	0.001	521535	49
522.244	0.001	522244	103
522.813	0.001	522813	104
523.912	0.001	523912	2
525.31	0.001	525310	22
525.959	0.001	525959	61
527.327	0.001	527327	42
527.776	0.001	527776	101
529.664	0.001	529664	102
530.493	0.001	530493	9
531.891	0.001	531891	29
532.5	0.001	532500	61
533.888	0.001	533888	49
534.387	0.001	534387	103
536.474	0.001	536474	104
537.383	0.001	537383	5
538.771	0.001	538771	25
