onset	duration	sample	trigger
11.95	0.001	11950	254
13.878	0.001	13878	201
15.915	0.001	15915	10
17.303	0.001	17303	30
18.032	0.001	18032	62
19.33	0.001	19330	50
19.88	0.001	19880	103
21.487	0.001	21487	104
22.606	0.001	22606	8
23.994	0.001	23994	28
25.502	0.001	25502	60
26.001	0.001	26001	48
29.536	0.001	29536	104
30.775	0.001	30775	5
32.163	0.001	32163	25
33.671	0.001	33671	60
34.17	0.001	34170	45
34.58	0.001	34580	101
36.048	0.001	36048	102
36.827	0.001	36827	11
38.215	0.001	38215	31
39.713	0.001	39713	60
40.222	0.001	40222	51
40.591	0.001	40591	103
42.049	0.001	42049	104
42.838	0.001	42838	7
44.227	0.001	44227	27
44.886	0.001	44886	61
46.234	0.001	46234	47
46.943	0.001	46943	103
49.08	0.001	49080	104
49.969	0.001	49969	9
51.357	0.001	51357	29
52.116	0.001	52116	61
53.364	0.001	53364	49
54.273	0.001	54273	103
56.22	0.001	56220	104
57.149	0.001	57149	5
58.537	0.001	58537	25
60.045	0.001	60045	60
60.544	0.001	60544	45
61.054	0.001	61054	101
63.121	0.001	63121	102
64.339	0.001	64339	10
65.727	0.001	65727	30
66.436	0.001	66436	62
67.735	0.001	67735	50
68.214	0.001	68214	103
70.79	0.001	70790	104
72.049	0.001	72049	6
73.437	0.001	73437	26
74.945	0.001	74945	60
75.454	0.001	75454	46
75.953	0.001	75953	101
78.969	0.001	78969	102
79.848	0.001	79848	11
81.236	0.001	81236	31
82.754	0.001	82754	60
83.264	0.001	83264	51
84.022	0.001	84022	103
86.699	0.001	86699	104
87.488	0.001	87488	9
88.876	0.001	88876	29
89.645	0.001	89645	61
90.893	0.001	90893	49
91.702	0.001	91702	103
93.829	0.001	93829	104
94.838	0.001	94838	2
96.226	0.001	96226	22
97.284	0.001	97284	61
98.233	0.001	98233	42
99.262	0.001	99262	101
101.708	0.001	101708	102
102.567	0.001	102567	9
103.955	0.001	103955	29
104.684	0.001	104684	61
105.983	0.001	105983	49
106.752	0.001	106752	103
109.188	0.001	109188	104
110.037	0.001	110037	2
111.425	0.001	111425	22
112.314	0.001	112314	61
113.443	0.001	113443	42
113.992	0.001	113992	101
116.658	0.001	116658	102
117.597	0.001	117597	8
118.985	0.001	118985	28
119.924	0.001	119924	62
120.992	0.001	120992	48
121.492	0.001	121492	103
123.669	0.001	123669	104
124.797	0.001	124797	10
126.185	0.001	126185	30
126.914	0.001	126914	62
128.193	0.001	128193	50
128.772	0.001	128772	103
132.836	0.001	132836	11
134.214	0.001	134214	31
135.722	0.001	135722	60
136.232	0.001	136232	51
136.731	0.001	136731	103
138.608	0.001	138608	104
139.807	0.001	139807	7
141.185	0.001	141185	27
141.934	0.001	141934	61
143.202	0.001	143202	47
144.041	0.001	144041	103
147.027	0.001	147027	104
148.205	0.001	148205	3
149.593	0.001	149593	23
150.442	0.001	150442	62
151.621	0.001	151621	43
152.559	0.001	152559	101
155.216	0.001	155216	102
156.145	0.001	156145	10
157.533	0.001	157533	30
158.312	0.001	158312	62
