onset	duration	sample	trigger
274.921	0.001	274921	201
276.569	0.001	276569	4
277.967	0.001	277967	24
278.896	0.001	278896	61
279.974	0.001	279974	44
281.252	0.001	281252	101
283.19	0.001	283190	102
284.139	0.001	284139	6
285.537	0.001	285537	26
287.045	0.001	287045	60
287.544	0.001	287544	46
288.273	0.001	288273	101
290.18	0.001	290180	102
291.159	0.001	291159	1
292.557	0.001	292557	21
293.706	0.001	293706	62
294.564	0.001	294564	41
295.224	0.001	295224	101
297.44	0.001	297440	102
298.339	0.001	298339	3
299.737	0.001	299737	23
300.716	0.001	300716	62
301.755	0.001	301755	43
302.294	0.001	302294	101
303.722	0.001	303722	102
304.541	0.001	304541	2
305.939	0.001	305939	22
306.618	0.001	306618	61
307.956	0.001	307956	42
308.735	0.001	308735	101
310.393	0.001	310393	102
311.352	0.001	311352	10
312.75	0.001	312750	30
313.369	0.001	313369	62
314.747	0.001	314747	50
315.316	0.001	315316	103
317.074	0.001	317074	104
318.312	0.001	318312	4
319.7	0.001	319700	24
320.19	0.001	320190	61
321.708	0.001	321708	44
322.367	0.001	322367	103
326.561	0.001	326561	1
327.959	0.001	327959	21
328.888	0.001	328888	62
329.976	0.001	329976	41
330.456	0.001	330456	101
331.055	0.001	331055	102
332.173	0.001	332173	10
333.571	0.001	333571	30
334.201	0.001	334201	62
335.569	0.001	335569	50
336.338	0.001	336338	103
337.796	0.001	337796	104
338.924	0.001	338924	6
340.322	0.001	340322	26
341.82	0.001	341820	60
342.32	0.001	342320	46
342.619	0.001	342619	101
344.906	0.001	344906	102
345.895	0.001	345895	5
347.293	0.001	347293	25
348.801	0.001	348801	60
349.3	0.001	349300	45
349.739	0.001	349739	101
351.397	0.001	351397	102
352.316	0.001	352316	5
353.714	0.001	353714	25
355.222	0.001	355222	60
355.721	0.001	355721	45
356.341	0.001	356341	101
357.838	0.001	357838	102
359.017	0.001	359017	2
360.415	0.001	360415	22
361.024	0.001	361024	61
362.432	0.001	362432	42
363.051	0.001	363051	101
365.848	0.001	365848	102
366.906	0.001	366906	8
368.304	0.001	368304	28
368.764	0.001	368764	62
370.322	0.001	370322	48
371.18	0.001	371180	101
375.205	0.001	375205	3
376.593	0.001	376593	23
377.162	0.001	377162	62
378.61	0.001	378610	43
379.1	0.001	379100	101
380.298	0.001	380298	102
381.267	0.001	381267	8
382.655	0.001	382655	28
383.174	0.001	383174	62
384.672	0.001	384672	48
385.281	0.001	385281	103
386.49	0.001	386490	104
387.398	0.001	387398	11
388.796	0.001	388796	31
390.294	0.001	390294	60
390.804	0.001	390804	51
391.143	0.001	391143	103
392.971	0.001	392971	104
394.129	0.001	394129	12
395.517	0.001	395517	32
397.015	0.001	397015	60
397.525	0.001	397525	52
397.944	0.001	397944	103
400.71	0.001	400710	104
401.539	0.001	401539	7
402.927	0.001	402927	27
403.646	0.001	403646	61
404.935	0.001	404935	47
405.384	0.001	405384	103
407.811	0.001	407811	104
408.779	0.001	408779	9
410.177	0.001	410177	29
410.896	0.001	410896	61
412.175	0.001	412175	49
412.964	0.001	412964	104
413.813	0.001	413813	7
415.211	0.001	415211	27
415.63	0.001	415630	61
417.218	0.001	417218	47
417.677	0.001	417677	103
419.794	0.001	419794	104
421.023	0.001	421023	11
422.421	0.001	422421	31
423.929	0.001	423929	60
424.428	0.001	424428	51
424.947	0.001	424947	103
426.006	0.001	426006	104
427.174	0.001	427174	9
428.572	0.001	428572	29
429.182	0.001	429182	61
430.59	0.001	430590	49
431.059	0.001	431059	103
432.807	0.001	432807	104
434.035	0.001	434035	12
435.433	0.001	435433	32
436.931	0.001	436931	60
437.44	0.001	437440	52
437.89	0.001	437890	103
440.157	0.001	440157	104
440.386	0.001	440386	255
490.746	0.001	490746	254
493.043	0.001	493043	201
494.93	0.001	494930	5
496.328	0.001	496328	25
497.826	0.001	497826	60
498.325	0.001	498325	45
499.064	0.001	499064	102
