onset	duration	sample	trigger
7.426	0.001	7426	254
213.736	0.001	213736	201
215.534	0.001	215534	9
216.932	0.001	216932	29
217.691	0.001	217691	61
218.929	0.001	218929	49
219.848	0.001	219848	103
223.892	0.001	223892	9
225.29	0.001	225290	29
226.089	0.001	226089	61
227.308	0.001	227308	49
227.397	0.001	227397	103
229.475	0.001	229475	104
230.663	0.001	230663	12
232.061	0.001	232061	32
233.549	0.001	233549	60
234.058	0.001	234058	52
234.867	0.001	234867	103
238.852	0.001	238852	3
240.24	0.001	240240	23
241.299	0.001	241299	62
242.257	0.001	242257	43
242.777	0.001	242777	101
245.383	0.001	245383	102
246.581	0.001	246581	11
247.979	0.001	247979	31
249.477	0.001	249477	60
249.977	0.001	249977	51
250.576	0.001	250576	103
252.673	0.001	252673	104
253.562	0.001	253562	6
254.96	0.001	254960	26
256.458	0.001	256458	60
256.967	0.001	256967	46
257.327	0.001	257327	101
259.194	0.001	259194	102
260.273	0.001	260273	11
261.661	0.001	261661	31
263.169	0.001	263169	60
263.678	0.001	263678	51
264.237	0.001	264237	103
266.384	0.001	266384	104
267.483	0.001	267483	5
268.881	0.001	268881	25
270.379	0.001	270379	60
270.898	0.001	270898	45
271.188	0.001	271188	101
274.054	0.001	274054	102
274.943	0.001	274943	2
276.331	0.001	276331	22
277.829	0.001	277829	60
278.328	0.001	278328	42
278.848	0.001	278848	101
283.142	0.001	283142	2
284.54	0.001	284540	22
286.028	0.001	286028	60
286.557	0.001	286557	42
286.957	0.001	286957	101
288.175	0.001	288175	102
289.114	0.001	289114	4
290.502	0.001	290502	24
291.281	0.001	291281	61
292.519	0.001	292519	44
294.317	0.001	294317	101
297.233	0.001	297233	6
298.631	0.001	298631	26
300.129	0.001	300129	60
300.628	0.001	300628	46
300.838	0.001	300838	101
302.645	0.001	302645	102
303.594	0.001	303594	12
304.992	0.001	304992	32
306.49	0.001	306490	60
306.989	0.001	306989	52
307.399	0.001	307399	103
310.544	0.001	310544	104
311.533	0.001	311533	10
312.931	0.001	312931	30
313.93	0.001	313930	62
314.949	0.001	314949	50
315.168	0.001	315168	103
317.106	0.001	317106	104
318.274	0.001	318274	1
319.662	0.001	319662	21
321.05	0.001	321050	62
321.679	0.001	321679	41
322.259	0.001	322259	101
323.826	0.001	323826	102
325.085	0.001	325085	8
326.473	0.001	326473	28
327.981	0.001	327981	60
328.49	0.001	328490	48
328.82	0.001	328820	103
333.373	0.001	333373	10
334.772	0.001	334772	30
335.71	0.001	335710	62
336.769	0.001	336769	50
337.128	0.001	337128	103
338.536	0.001	338536	104
339.425	0.001	339425	3
340.813	0.001	340813	23
341.512	0.001	341512	62
342.831	0.001	342831	43
343.11	0.001	343110	101
344.478	0.001	344478	102
345.697	0.001	345697	7
347.095	0.001	347095	27
348.133	0.001	348133	61
349.092	0.001	349092	47
349.621	0.001	349621	103
353.047	0.001	353047	104
353.896	0.001	353896	1
355.294	0.001	355294	21
356.422	0.001	356422	62
357.301	0.001	357301	41
357.621	0.001	357621	101
360.447	0.001	360447	102
361.715	0.001	361715	5
363.113	0.001	363113	25
364.621	0.001	364621	60
365.13	0.001	365130	45
365.72	0.001	365720	101
368.066	0.001	368066	102
369.095	0.001	369095	8
370.483	0.001	370483	28
371.831	0.001	371831	62
372.49	0.001	372490	48
372.71	0.001	372710	103
374.857	0.001	374857	104
376.065	0.001	376065	7
377.464	0.001	377464	27
378.263	0.001	378263	61
379.481	0.001	379481	47
379.85	0.001	379850	103
381.838	0.001	381838	104
382.796	0.001	382796	4
384.194	0.001	384194	24
384.933	0.001	384933	61
386.212	0.001	386212	44
386.551	0.001	386551	101
388.698	0.001	388698	102
388.948	0.001	388948	255
494.159	0.001	494159	254
495.717	0.001	495717	201
497.345	0.001	497345	3
498.743	0.001	498743	23
499.442	0.001	499442	62
500.74	0.001	500740	43
500.98	0.001	500980	101
503.726	0.001	503726	102
504.865	0.001	504865	3
506.263	0.001	506263	23
506.882	0.001	506882	62
508.28	0.001	508280	43
508.51	0.001	508510	101
510.677	0.001	510677	102
511.885	0.001	511885	12
513.273	0.001	513273	32
514.781	0.001	514781	60
515.281	0.001	515281	52
515.56	0.001	515560	103
517.148	0.001	517148	104
518.127	0.001	518127	11
519.515	0.001	519515	31
521.013	0.001	521013	60
521.522	0.001	521522	51
521.812	0.001	521812	103
525.437	0.001	525437	104
526.625	0.001	526625	11
528.023	0.001	528023	31
529.531	0.001	529531	60
530.031	0.001	530031	51
530.33	0.001	530330	103
532.677	0.001	532677	104
533.626	0.001	533626	4
535.014	0.001	535014	24
535.863	0.001	535863	61
537.021	0.001	537021	44
537.101	0.001	537101	101
539.787	0.001	539787	102
540.766	0.001	540766	4
542.164	0.001	542164	24
542.933	0.001	542933	61
544.171	0.001	544171	44
544.211	0.001	544211	101
547.447	0.001	547447	102
548.236	0.001	548236	5
549.634	0.001	549634	25
551.122	0.001	551122	60
551.631	0.001	551631	45
552.101	0.001	552101	101
556.644	0.001	556644	12
558.033	0.001	558033	32
559.541	0.001	559541	60
560.04	0.001	560040	52
560.349	0.001	560349	103
562.526	0.001	562526	104
563.675	0.001	563675	8
565.073	0.001	565073	28
566.022	0.001	566022	62
567.09	0.001	567090	48
567.43	0.001	567430	103
570.356	0.001	570356	104
571.344	0.001	571344	11
572.743	0.001	572743	31
574.241	0.001	574241	60
574.74	0.001	574740	51
574.95	0.001	574950	103
577.256	0.001	577256	104
578.125	0.001	578125	2
579.523	0.001	579523	22
580.043	0.001	580043	61
581.531	0.001	581531	42
582.07	0.001	582070	101
585.206	0.001	585206	102
586.294	0.001	586294	12
587.692	0.001	587692	32
589.19	0.001	589190	60
589.69	0.001	589690	52
590.069	0.001	590069	103
592.496	0.001	592496	104
593.734	0.001	593734	2
595.132	0.001	595132	22
596.241	0.001	596241	61
597.149	0.001	597149	42
597.439	0.001	597439	101
600.565	0.001	600565	102
601.763	0.001	601763	6
603.161	0.001	603161	26
604.669	0.001	604669	60
605.169	0.001	605169	46
605.418	0.001	605418	101
609.093	0.001	609093	102
610.132	0.001	610132	10
611.53	0.001	611530	30
612.299	0.001	612299	62
613.547	0.001	613547	50
614.076	0.001	614076	103
617.032	0.001	617032	104
618.121	0.001	618121	10
619.519	0.001	619519	30
620.178	0.001	620178	62
621.536	0.001	621536	50
622.016	0.001	622016	103
624.452	0.001	624452	104
625.461	0.001	625461	9
626.859	0.001	626859	29
627.458	0.001	627458	61
628.866	0.001	628866	49
629.755	0.001	629755	103
633.5	0.001	633500	12
634.888	0.001	634888	32
636.396	0.001	636396	60
636.895	0.001	636895	52
636.945	0.001	636945	103
639.172	0.001	639172	104
640.201	0.001	640201	12
641.599	0.001	641599	32
643.097	0.001	643097	60
643.596	0.001	643596	52
644.036	0.001	644036	103
645.783	0.001	645783	104
646.692	0.001	646692	12
648.09	0.001	648090	32
649.598	0.001	649598	60
650.098	0.001	650098	52
650.417	0.001	650417	103
652.494	0.001	652494	104
653.533	0.001	653533	1
654.931	0.001	654931	21
655.87	0.001	655870	62
656.948	0.001	656948	41
657.537	0.001	657537	101
659.165	0.001	659165	102
660.374	0.001	660374	1
661.772	0.001	661772	21
663.06	0.001	663060	61
663.779	0.001	663779	41
664.458	0.001	664458	101
666.695	0.001	666695	102
667.474	0.001	667474	11
668.862	0.001	668862	31
670.38	0.001	670380	60
670.879	0.001	670879	51
671.459	0.001	671459	103
674.065	0.001	674065	104
674.944	0.001	674944	6
676.342	0.001	676342	26
677.83	0.001	677830	60
678.329	0.001	678329	46
678.439	0.001	678439	101
681.215	0.001	681215	102
682.004	0.001	682004	3
683.392	0.001	683392	23
684.371	0.001	684371	62
685.4	0.001	685400	43
685.739	0.001	685739	101
688.116	0.001	688116	102
689.164	0.001	689164	1
690.553	0.001	690553	21
692.061	0.001	692061	60
692.56	0.001	692560	41
692.999	0.001	692999	101
694.687	0.001	694687	102
695.746	0.001	695746	12
697.134	0.001	697134	32
698.642	0.001	698642	60
699.141	0.001	699141	52
699.421	0.001	699421	103
701.648	0.001	701648	104
702.736	0.001	702736	11
704.134	0.001	704134	31
705.642	0.001	705642	60
706.141	0.001	706141	51
706.441	0.001	706441	103
708.928	0.001	708928	104
709.996	0.001	709996	7
711.394	0.001	711394	27
711.993	0.001	711993	61
713.392	0.001	713392	47
713.661	0.001	713661	103
716.547	0.001	716547	104
717.446	0.001	717446	2
718.844	0.001	718844	22
719.493	0.001	719493	61
720.861	0.001	720861	42
721.121	0.001	721121	101
723.548	0.001	723548	102
724.756	0.001	724756	5
726.154	0.001	726154	25
727.003	0.001	727003	61
728.162	0.001	728162	45
728.591	0.001	728591	101
731.647	0.001	731647	102
732.576	0.001	732576	8
733.974	0.001	733974	28
734.713	0.001	734713	62
735.991	0.001	735991	48
736.281	0.001	736281	103
738.927	0.001	738927	104
739.916	0.001	739916	8
741.314	0.001	741314	28
741.883	0.001	741883	62
743.331	0.001	743331	48
743.431	0.001	743431	103
745.378	0.001	745378	104
746.527	0.001	746527	4
747.925	0.001	747925	24
748.524	0.001	748524	61
749.932	0.001	749932	44
749.962	0.001	749962	101
752.728	0.001	752728	102
753.787	0.001	753787	8
755.175	0.001	755175	28
756.693	0.001	756693	60
757.192	0.001	757192	48
757.851	0.001	757851	103
762.095	0.001	762095	2
763.494	0.001	763494	22
764.173	0.001	764173	61
765.501	0.001	765501	42
765.601	0.001	765601	101
768.726	0.001	768726	102
769.815	0.001	769815	3
771.203	0.001	771203	23
772.242	0.001	772242	61
773.22	0.001	773220	43
773.72	0.001	773720	101
778.234	0.001	778234	2
779.622	0.001	779622	22
780.331	0.001	780331	61
781.639	0.001	781639	42
782.098	0.001	782098	101
783.786	0.001	783786	102
784.855	0.001	784855	7
786.253	0.001	786253	27
787.751	0.001	787751	60
788.26	0.001	788260	47
788.659	0.001	788659	103
790.427	0.001	790427	104
791.436	0.001	791436	5
792.834	0.001	792834	25
794.342	0.001	794342	60
794.851	0.001	794851	45
795.38	0.001	795380	101
797.098	0.001	797098	102
798.107	0.001	798107	4
799.505	0.001	799505	24
800.533	0.001	800533	61
801.522	0.001	801522	44
801.802	0.001	801802	101
803.29	0.001	803290	102
804.338	0.001	804338	6
805.736	0.001	805736	26
807.244	0.001	807244	60
807.753	0.001	807753	46
808.113	0.001	808113	101
