onset	duration	sample	trigger
19.797	0.001	19797	254
21.884	0.001	21884	201
23.532	0.001	23532	7
24.93	0.001	24930	27
25.34	0.001	25340	61
26.938	0.001	26938	47
27.397	0.001	27397	103
28.725	0.001	28725	104
29.614	0.001	29614	11
31.002	0.001	31002	31
32.52	0.001	32520	60
33.019	0.001	33019	51
33.439	0.001	33439	103
35.286	0.001	35286	104
36.065	0.001	36065	8
37.463	0.001	37463	28
38.062	0.001	38062	62
39.461	0.001	39461	48
39.82	0.001	39820	103
42.227	0.001	42227	104
43.295	0.001	43295	6
44.693	0.001	44693	26
46.191	0.001	46191	60
46.691	0.001	46691	46
47.12	0.001	47120	101
49.836	0.001	49836	102
50.975	0.001	50975	2
52.363	0.001	52363	22
52.912	0.001	52912	61
54.37	0.001	54370	42
54.74	0.001	54740	101
55.848	0.001	55848	102
56.877	0.001	56877	7
58.275	0.001	58275	27
58.894	0.001	58894	61
60.292	0.001	60292	47
60.742	0.001	60742	103
62.349	0.001	62349	104
63.218	0.001	63218	3
64.616	0.001	64616	23
65.305	0.001	65305	62
66.624	0.001	66624	43
66.963	0.001	66963	101
68.172	0.001	68172	102
68.941	0.001	68941	2
70.339	0.001	70339	22
71.058	0.001	71058	61
72.356	0.001	72356	42
72.675	0.001	72675	101
73.524	0.001	73524	102
74.723	0.001	74723	5
76.121	0.001	76121	25
77.609	0.001	77609	60
78.118	0.001	78118	45
78.517	0.001	78517	101
80.335	0.001	80335	102
81.284	0.001	81284	12
82.682	0.001	82682	32
84.18	0.001	84180	60
84.689	0.001	84689	52
85.168	0.001	85168	103
86.577	0.001	86577	104
87.385	0.001	87385	11
88.774	0.001	88774	31
90.282	0.001	90282	60
90.791	0.001	90791	51
91.68	0.001	91680	103
93.857	0.001	93857	104
94.975	0.001	94975	10
96.373	0.001	96373	30
97.032	0.001	97032	62
98.381	0.001	98381	50
98.87	0.001	98870	103
100.388	0.001	100388	104
101.406	0.001	101406	1
102.805	0.001	102805	21
103.593	0.001	103593	62
104.812	0.001	104812	41
105.151	0.001	105151	101
107.169	0.001	107169	102
108.277	0.001	108277	7
109.665	0.001	109665	27
110.264	0.001	110264	61
111.682	0.001	111682	47
112.392	0.001	112392	103
116.446	0.001	116446	6
117.844	0.001	117844	26
119.332	0.001	119332	60
119.841	0.001	119841	46
120.231	0.001	120231	101
122.478	0.001	122478	102
123.636	0.001	123636	11
125.024	0.001	125024	31
126.532	0.001	126532	60
127.042	0.001	127042	51
127.371	0.001	127371	103
129.069	0.001	129069	104
130.078	0.001	130078	2
131.476	0.001	131476	22
132.284	0.001	132284	61
133.473	0.001	133473	42
133.852	0.001	133852	101
136.009	0.001	136009	102
137.068	0.001	137068	1
138.466	0.001	138466	21
139.954	0.001	139954	60
140.463	0.001	140463	41
140.913	0.001	140913	101
142.65	0.001	142650	102
143.609	0.001	143609	4
145.007	0.001	145007	24
145.686	0.001	145686	61
147.005	0.001	147005	44
147.364	0.001	147364	101
150.29	0.001	150290	102
151.209	0.001	151209	10
152.607	0.001	152607	30
153.206	0.001	153206	62
154.614	0.001	154614	50
154.974	0.001	154974	103
157.191	0.001	157191	104
158.249	0.001	158249	12
159.647	0.001	159647	32
161.155	0.001	161155	60
161.665	0.001	161665	52
162.164	0.001	162164	103
165.33	0.001	165330	104
166.268	0.001	166268	6
167.656	0.001	167656	26
169.164	0.001	169164	60
169.664	0.001	169664	46
170.183	0.001	170183	101
172.34	0.001	172340	102
173.459	0.001	173459	1
174.857	0.001	174857	21
175.486	0.001	175486	62
176.854	0.001	176854	41
177.293	0.001	177293	101
180.579	0.001	180579	102
181.408	0.001	181408	7
182.806	0.001	182806	27
183.735	0.001	183735	61
184.823	0.001	184823	47
185.233	0.001	185233	103
187.589	0.001	187589	104
188.428	0.001	188428	7
189.826	0.001	189826	27
190.475	0.001	190475	61
191.824	0.001	191824	47
192.203	0.001	192203	103
193.851	0.001	193851	104
194.909	0.001	194909	12
196.308	0.001	196308	32
197.806	0.001	197806	60
198.315	0.001	198315	52
198.854	0.001	198854	103
201.111	0.001	201111	104
202.04	0.001	202040	5
203.438	0.001	203438	25
204.946	0.001	204946	60
205.455	0.001	205455	45
