onset	duration	sample	trigger
0.105	0.001	105	29
1.603	0.001	1603	60
2.113	0.001	2113	49
2.472	0.001	2472	103
4.13	0.001	4130	104
5.248	0.001	5248	3
6.647	0.001	6647	23
8.155	0.001	8155	60
8.654	0.001	8654	43
9.083	0.001	9083	101
11.18	0.001	11180	102
12.139	0.001	12139	8
13.537	0.001	13537	28
15.045	0.001	15045	60
15.554	0.001	15554	48
15.834	0.001	15834	103
16.943	0.001	16943	104
18.191	0.001	18191	7
19.589	0.001	19589	27
21.077	0.001	21077	60
21.586	0.001	21586	47
21.996	0.001	21996	103
23.034	0.001	23034	104
24.123	0.001	24123	8
25.521	0.001	25521	28
27.029	0.001	27029	60
27.538	0.001	27538	48
28.167	0.001	28167	103
29.645	0.001	29645	104
30.904	0.001	30904	12
32.302	0.001	32302	32
33.8	0.001	33800	60
34.309	0.001	34309	52
34.649	0.001	34649	103
36.027	0.001	36027	104
36.925	0.001	36925	4
38.324	0.001	38324	24
39.822	0.001	39822	60
40.321	0.001	40321	44
40.71	0.001	40710	101
45.164	0.001	45164	11
46.552	0.001	46552	31
48.07	0.001	48070	60
48.57	0.001	48570	51
48.859	0.001	48859	103
50.667	0.001	50667	104
51.426	0.001	51426	2
52.824	0.001	52824	22
54.312	0.001	54312	60
54.821	0.001	54821	42
55.041	0.001	55041	101
56.449	0.001	56449	102
57.567	0.001	57567	7
58.966	0.001	58966	27
60.473	0.001	60473	60
60.973	0.001	60973	47
61.302	0.001	61302	103
62.521	0.001	62521	104
63.569	0.001	63569	10
64.957	0.001	64957	30
66.465	0.001	66465	60
66.975	0.001	66975	50
67.374	0.001	67374	103
68.273	0.001	68273	104
69.311	0.001	69311	9
70.71	0.001	70710	29
72.208	0.001	72208	60
72.717	0.001	72717	49
73.116	0.001	73116	103
74.494	0.001	74494	104
75.413	0.001	75413	5
76.811	0.001	76811	25
78.319	0.001	78319	60
78.819	0.001	78819	45
79.288	0.001	79288	101
80.456	0.001	80456	102
81.515	0.001	81515	4
82.913	0.001	82913	24
84.411	0.001	84411	60
84.92	0.001	84920	44
85.29	0.001	85290	103
86.678	0.001	86678	104
87.677	0.001	87677	3
89.075	0.001	89075	23
90.573	0.001	90573	60
91.082	0.001	91082	43
91.382	0.001	91382	101
93.279	0.001	93279	102
94.357	0.001	94357	1
95.756	0.001	95756	21
97.244	0.001	97244	60
97.753	0.001	97753	41
98.272	0.001	98272	101
99.051	0.001	99051	102
99.84	0.001	99840	2
101.238	0.001	101238	22
102.736	0.001	102736	60
103.245	0.001	103245	42
103.575	0.001	103575	101
105.632	0.001	105632	102
106.801	0.001	106801	11
108.199	0.001	108199	31
109.697	0.001	109697	60
110.196	0.001	110196	51
110.545	0.001	110545	103
111.544	0.001	111544	104
112.353	0.001	112353	1
113.751	0.001	113751	21
115.249	0.001	115249	60
115.748	0.001	115748	41
115.998	0.001	115998	101
117.466	0.001	117466	102
117.706	0.001	117706	255
213.624	0.001	213624	254
221.294	0.001	221294	201
223.061	0.001	223061	7
224.449	0.001	224449	27
224.899	0.001	224899	61
226.457	0.001	226457	47
226.906	0.001	226906	103
228.374	0.001	228374	104
229.393	0.001	229393	2
230.781	0.001	230781	22
231.24	0.001	231240	61
232.788	0.001	232788	42
233.178	0.001	233178	101
235.504	0.001	235504	102
236.643	0.001	236643	10
238.041	0.001	238041	30
238.45	0.001	238450	62
240.048	0.001	240048	50
240.677	0.001	240677	103
242.036	0.001	242036	104
242.795	0.001	242795	12
244.193	0.001	244193	32
