onset	duration	sample	trigger
290.49	0.001	290490	201
292.337	0.001	292337	10
293.735	0.001	293735	30
294.934	0.001	294934	62
295.733	0.001	295733	50
296.721	0.001	296721	103
300.656	0.001	300656	9
302.044	0.001	302044	29
303.133	0.001	303133	61
304.061	0.001	304061	49
304.571	0.001	304571	103
306.378	0.001	306378	104
307.606	0.001	307606	8
309.005	0.001	309005	28
310.023	0.001	310023	62
311.002	0.001	311002	48
311.301	0.001	311301	103
312.819	0.001	312819	104
313.608	0.001	313608	1
314.996	0.001	314996	21
315.935	0.001	315935	62
317.004	0.001	317004	41
317.273	0.001	317273	101
319.74	0.001	319740	102
320.968	0.001	320968	4
322.366	0.001	322366	24
323.864	0.001	323864	60
324.374	0.001	324374	44
325.023	0.001	325023	101
327.26	0.001	327260	102
328.488	0.001	328488	3
329.886	0.001	329886	23
330.865	0.001	330865	62
331.884	0.001	331884	43
332.443	0.001	332443	101
334.61	0.001	334610	102
335.429	0.001	335429	12
336.817	0.001	336817	32
338.325	0.001	338325	60
338.834	0.001	338834	52
340.991	0.001	340991	103
343.767	0.001	343767	6
345.166	0.001	345166	26
346.673	0.001	346673	60
347.183	0.001	347183	46
347.382	0.001	347382	101
349.839	0.001	349839	102
350.658	0.001	350658	8
352.056	0.001	352056	28
352.875	0.001	352875	62
354.063	0.001	354063	48
354.373	0.001	354373	103
356.001	0.001	356001	104
356.999	0.001	356999	9
358.388	0.001	358388	29
359.117	0.001	359117	61
360.405	0.001	360405	49
360.505	0.001	360505	103
361.813	0.001	361813	104
362.762	0.001	362762	4
364.16	0.001	364160	24
364.889	0.001	364889	61
366.167	0.001	366167	44
366.237	0.001	366237	101
368.334	0.001	368334	102
369.522	0.001	369522	10
370.911	0.001	370911	30
371.59	0.001	371590	62
372.928	0.001	372928	50
372.988	0.001	372988	103
375.225	0.001	375225	104
376.233	0.001	376233	3
377.631	0.001	377631	23
378.291	0.001	378291	62
379.649	0.001	379649	43
379.679	0.001	379679	101
381.806	0.001	381806	102
382.954	0.001	382954	7
384.352	0.001	384352	27
385.171	0.001	385171	61
386.37	0.001	386370	47
386.4	0.001	386400	103
388.367	0.001	388367	104
389.176	0.001	389176	11
390.564	0.001	390564	31
392.072	0.001	392072	60
392.581	0.001	392581	51
392.891	0.001	392891	103
395.547	0.001	395547	104
396.466	0.001	396466	11
397.864	0.001	397864	31
399.352	0.001	399352	60
399.861	0.001	399861	51
400.321	0.001	400321	103
401.928	0.001	401928	104
402.927	0.001	402927	5
404.315	0.001	404315	25
405.823	0.001	405823	60
406.332	0.001	406332	45
406.392	0.001	406392	101
407.94	0.001	407940	102
408.799	0.001	408799	2
410.187	0.001	410187	22
411.705	0.001	411705	60
412.204	0.001	412204	42
412.224	0.001	412224	101
414.302	0.001	414302	102
415.48	0.001	415480	2
416.878	0.001	416878	22
417.987	0.001	417987	61
418.895	0.001	418895	42
418.935	0.001	418935	101
421.302	0.001	421302	102
422.291	0.001	422291	7
423.689	0.001	423689	27
424.618	0.001	424618	61
425.696	0.001	425696	47
425.916	0.001	425916	103
428.662	0.001	428662	104
429.641	0.001	429641	1
431.039	0.001	431039	21
431.668	0.001	431668	62
433.046	0.001	433046	41
433.086	0.001	433086	101
436.581	0.001	436581	102
437.76	0.001	437760	5
439.158	0.001	439158	25
440.666	0.001	440666	60
441.175	0.001	441175	45
441.575	0.001	441575	101
443.502	0.001	443502	102
444.461	0.001	444461	12
445.859	0.001	445859	32
447.367	0.001	447367	60
447.876	0.001	447876	52
