onset	duration	sample	trigger
12.904	0.001	12904	254
23.979	0.001	23979	201
25.567	0.001	25567	11
26.965	0.001	26965	31
28.463	0.001	28463	60
28.962	0.001	28962	51
29.541	0.001	29541	103
30.83	0.001	30830	104
32.038	0.001	32038	4
33.436	0.001	33436	24
34.125	0.001	34125	61
35.453	0.001	35453	44
35.783	0.001	35783	101
37.141	0.001	37141	102
38.23	0.001	38230	5
39.628	0.001	39628	25
41.136	0.001	41136	60
41.635	0.001	41635	45
42.234	0.001	42234	101
43.093	0.001	43093	102
44.191	0.001	44191	9
45.59	0.001	45590	29
46.279	0.001	46279	61
47.587	0.001	47587	49
48.186	0.001	48186	103
49.045	0.001	49045	104
49.944	0.001	49944	5
51.342	0.001	51342	25
52.85	0.001	52850	60
53.359	0.001	53359	45
53.838	0.001	53838	101
54.447	0.001	54447	102
55.476	0.001	55476	4
56.874	0.001	56874	24
57.523	0.001	57523	61
58.881	0.001	58881	44
59.461	0.001	59461	101
60.18	0.001	60180	102
60.989	0.001	60989	7
62.387	0.001	62387	27
63.106	0.001	63106	61
64.394	0.001	64394	47
65.033	0.001	65033	103
66.271	0.001	66271	104
67.39	0.001	67390	8
68.788	0.001	68788	28
69.377	0.001	69377	62
70.805	0.001	70805	48
71.464	0.001	71464	103
74.151	0.001	74151	104
75.159	0.001	75159	4
76.557	0.001	76557	24
78.575	0.001	78575	44
79.034	0.001	79034	101
80.262	0.001	80262	102
81.081	0.001	81081	4
82.479	0.001	82479	24
82.929	0.001	82929	61
84.477	0.001	84477	44
84.926	0.001	84926	101
86.194	0.001	86194	102
87.343	0.001	87343	1
88.741	0.001	88741	21
89.49	0.001	89490	62
90.738	0.001	90738	41
91.527	0.001	91527	101
93.604	0.001	93604	102
94.813	0.001	94813	11
96.211	0.001	96211	31
97.719	0.001	97719	60
98.228	0.001	98228	51
98.837	0.001	98837	103
99.786	0.001	99786	104
100.844	0.001	100844	7
102.243	0.001	102243	27
102.802	0.001	102802	61
104.26	0.001	104260	47
104.909	0.001	104909	103
105.648	0.001	105648	104
106.577	0.001	106577	3
107.975	0.001	107975	23
108.694	0.001	108694	62
109.972	0.001	109972	43
110.481	0.001	110481	101
112.039	0.001	112039	102
113.268	0.001	113268	1
114.666	0.001	114666	21
115.285	0.001	115285	62
116.683	0.001	116683	41
117.102	0.001	117102	101
118.301	0.001	118301	102
119.559	0.001	119559	6
120.957	0.001	120957	26
122.465	0.001	122465	60
122.964	0.001	122964	46
123.504	0.001	123504	101
124.892	0.001	124892	102
126.15	0.001	126150	9
127.548	0.001	127548	29
128.088	0.001	128088	61
129.546	0.001	129546	49
130.095	0.001	130095	103
131.942	0.001	131942	104
133.201	0.001	133201	11
134.589	0.001	134589	31
136.087	0.001	136087	60
136.596	0.001	136596	51
137.125	0.001	137125	103
138.673	0.001	138673	104
139.951	0.001	139951	11
141.34	0.001	141340	31
142.857	0.001	142857	60
143.357	0.001	143357	51
143.956	0.001	143956	103
144.645	0.001	144645	104
145.504	0.001	145504	5
146.902	0.001	146902	25
148.41	0.001	148410	60
