onset	duration	sample	trigger
15.041	0.001	15041	201
17.088	0.001	17088	12
18.487	0.001	18487	32
19.995	0.001	19995	60
20.504	0.001	20504	52
21.403	0.001	21403	103
23.719	0.001	23719	104
24.668	0.001	24668	2
26.066	0.001	26066	22
27.564	0.001	27564	60
28.074	0.001	28074	42
29.332	0.001	29332	101
31.739	0.001	31739	102
32.987	0.001	32987	7
34.385	0.001	34385	27
35.873	0.001	35873	61
36.382	0.001	36382	47
37.82	0.001	37820	103
40.337	0.001	40337	104
41.525	0.001	41525	1
42.923	0.001	42923	21
44.431	0.001	44431	60
44.931	0.001	44931	41
46.249	0.001	46249	101
49.664	0.001	49664	9
51.062	0.001	51062	29
52.56	0.001	52560	60
53.06	0.001	53060	49
55.307	0.001	55307	103
56.874	0.001	56874	104
57.883	0.001	57883	9
59.281	0.001	59281	29
59.94	0.001	59940	61
61.288	0.001	61288	49
62.557	0.001	62557	101
63.675	0.001	63675	102
64.674	0.001	64674	5
66.072	0.001	66072	25
67.57	0.001	67570	60
68.079	0.001	68079	45
69.058	0.001	69058	101
70.386	0.001	70386	102
71.604	0.001	71604	11
73.003	0.001	73003	31
74.501	0.001	74501	60
75.01	0.001	75010	51
75.769	0.001	75769	103
76.538	0.001	76538	104
77.437	0.001	77437	10
78.835	0.001	78835	30
79.664	0.001	79664	62
80.832	0.001	80832	50
81.621	0.001	81621	103
83.039	0.001	83039	104
83.998	0.001	83998	5
85.396	0.001	85396	25
86.914	0.001	86914	60
87.413	0.001	87413	45
87.663	0.001	87663	101
89.63	0.001	89630	102
90.778	0.001	90778	6
92.177	0.001	92177	26
93.684	0.001	93684	60
94.194	0.001	94194	46
95.192	0.001	95192	101
95.961	0.001	95961	102
96.89	0.001	96890	3
98.288	0.001	98288	23
99.796	0.001	99796	60
100.295	0.001	100295	43
101.384	0.001	101384	101
102.622	0.001	102622	102
103.831	0.001	103831	7
105.229	0.001	105229	27
106.727	0.001	106727	60
107.236	0.001	107236	47
108.574	0.001	108574	103
110.192	0.001	110192	104
111.45	0.001	111450	3
112.838	0.001	112838	23
114.336	0.001	114336	60
114.846	0.001	114846	43
116.923	0.001	116923	102
117.792	0.001	117792	2
119.19	0.001	119190	22
119.889	0.001	119889	61
121.207	0.001	121207	42
121.646	0.001	121646	101
123.095	0.001	123095	102
123.883	0.001	123883	6
125.282	0.001	125282	26
126.79	0.001	126790	60
127.289	0.001	127289	46
127.838	0.001	127838	101
129.056	0.001	129056	102
130.295	0.001	130295	1
131.693	0.001	131693	21
132.292	0.001	132292	62
133.71	0.001	133710	41
134.289	0.001	134289	101
135.917	0.001	135917	102
137.115	0.001	137115	4
138.504	0.001	138504	24
139.163	0.001	139163	61
140.521	0.001	140521	44
140.711	0.001	140711	101
142.288	0.001	142288	102
143.377	0.001	143377	4
144.775	0.001	144775	24
145.274	0.001	145274	61
146.792	0.001	146792	44
146.902	0.001	146902	101
148.88	0.001	148880	102
149.888	0.001	149888	8
151.286	0.001	151286	28
151.806	0.001	151806	62
153.304	0.001	153304	48
154.252	0.001	154252	104
155.031	0.001	155031	10
156.429	0.001	156429	30
157.638	0.001	157638	62
158.427	0.001	158427	50
158.836	0.001	158836	103
160.184	0.001	160184	104
161.033	0.001	161033	11
162.431	0.001	162431	31
163.929	0.001	163929	60
164.428	0.001	164428	51
164.818	0.001	164818	103
166.006	0.001	166006	104
167.205	0.001	167205	8
168.603	0.001	168603	28
169.092	0.001	169092	62
170.62	0.001	170620	48
171.169	0.001	171169	103
172.168	0.001	172168	104
172.957	0.001	172957	12
174.355	0.001	174355	32
175.843	0.001	175843	60
176.352	0.001	176352	52
176.792	0.001	176792	103
179.478	0.001	179478	104
179.708	0.001	179708	255
337.102	0.001	337102	254
338.74	0.001	338740	201
340.527	0.001	340527	11
341.925	0.001	341925	31
343.423	0.001	343423	60
343.923	0.001	343923	51
344.282	0.001	344282	103
346.22	0.001	346220	104
347.198	0.001	347198	8
348.596	0.001	348596	28
349.146	0.001	349146	62
350.604	0.001	350604	48
351.243	0.001	351243	103
352.102	0.001	352102	104
353.37	0.001	353370	9
354.758	0.001	354758	29
355.627	0.001	355627	61
356.775	0.001	356775	49
357.744	0.001	357744	103
360.071	0.001	360071	104
360.87	0.001	360870	7
362.258	0.001	362258	27
362.887	0.001	362887	61
364.275	0.001	364275	47
364.804	0.001	364804	103
366.103	0.001	366103	104
366.961	0.001	366961	9
368.359	0.001	368359	29
368.919	0.001	368919	61
370.367	0.001	370367	49
370.746	0.001	370746	103
372.344	0.001	372344	104
373.213	0.001	373213	8
374.601	0.001	374601	28
375.2	0.001	375200	62
376.618	0.001	376618	48
377.038	0.001	377038	103
378.715	0.001	378715	104
379.564	0.001	379564	10
380.962	0.001	380962	30
381.691	0.001	381691	62
382.98	0.001	382980	50
383.479	0.001	383479	103
384.448	0.001	384448	104
385.336	0.001	385336	12
386.734	0.001	386734	32
388.222	0.001	388222	60
388.732	0.001	388732	52
389.091	0.001	389091	103
390.759	0.001	390759	104
391.868	0.001	391868	9
393.256	0.001	393256	29
393.945	0.001	393945	61
395.263	0.001	395263	49
395.822	0.001	395822	103
396.531	0.001	396531	104
397.63	0.001	397630	2
