onset	duration	sample	trigger
30.331	0.001	30331	254
412.083	0.001	412083	201
413.95	0.001	413950	6
415.348	0.001	415348	26
416.846	0.001	416846	60
417.356	0.001	417356	46
418.464	0.001	418464	103
422.029	0.001	422029	4
423.427	0.001	423427	24
424.456	0.001	424456	61
425.445	0.001	425445	44
426.503	0.001	426503	103
430.238	0.001	430238	1
431.636	0.001	431636	21
432.785	0.001	432785	62
433.644	0.001	433644	41
434.073	0.001	434073	101
435.871	0.001	435871	102
437.059	0.001	437059	11
438.457	0.001	438457	31
439.965	0.001	439965	60
440.464	0.001	440464	51
441.433	0.001	441433	103
443.34	0.001	443340	104
444.099	0.001	444099	5
445.497	0.001	445497	25
446.756	0.001	446756	61
447.505	0.001	447505	45
448.074	0.001	448074	101
449.872	0.001	449872	102
450.88	0.001	450880	2
452.278	0.001	452278	22
453.786	0.001	453786	60
454.296	0.001	454296	42
454.965	0.001	454965	101
456.812	0.001	456812	102
457.681	0.001	457681	9
459.069	0.001	459069	29
460.188	0.001	460188	61
461.086	0.001	461086	49
461.326	0.001	461326	103
462.834	0.001	462834	104
463.952	0.001	463952	9
465.351	0.001	465351	29
466.159	0.001	466159	61
467.348	0.001	467348	49
467.897	0.001	467897	101
472.191	0.001	472191	10
473.589	0.001	473589	30
474.668	0.001	474668	62
475.597	0.001	475597	50
477.035	0.001	477035	103
478.383	0.001	478383	104
479.551	0.001	479551	11
480.939	0.001	480939	31
482.367	0.001	482367	62
482.947	0.001	482947	51
483.775	0.001	483775	101
485.383	0.001	485383	102
486.662	0.001	486662	1
488.05	0.001	488050	21
488.719	0.001	488719	62
490.067	0.001	490067	41
490.846	0.001	490846	101
491.645	0.001	491645	102
492.883	0.001	492883	4
494.281	0.001	494281	24
495.03	0.001	495030	61
496.299	0.001	496299	44
497.207	0.001	497207	101
499.444	0.001	499444	102
500.243	0.001	500243	12
501.641	0.001	501641	32
502.49	0.001	502490	62
503.659	0.001	503659	52
504.687	0.001	504687	103
508.522	0.001	508522	12
509.92	0.001	509920	32
511.058	0.001	511058	61
511.937	0.001	511937	52
512.876	0.001	512876	103
515.223	0.001	515223	104
516.461	0.001	516461	7
517.859	0.001	517859	27
518.488	0.001	518488	61
519.867	0.001	519867	47
521.265	0.001	521265	103
521.295	0.001	521295	104
522.103	0.001	522103	3
523.492	0.001	523492	23
524.69	0.001	524690	62
525.499	0.001	525499	43
528.375	0.001	528375	101
530.542	0.001	530542	6
531.94	0.001	531940	26
533.109	0.001	533109	61
533.947	0.001	533947	46
534.796	0.001	534796	101
536.913	0.001	536913	102
537.842	0.001	537842	5
539.24	0.001	539240	25
540.429	0.001	540429	61
541.237	0.001	541237	45
542.666	0.001	542666	103
543.295	0.001	543295	104
544.174	0.001	544174	8
545.562	0.001	545562	28
546.49	0.001	546490	62
547.579	0.001	547579	48
548.388	0.001	548388	103
549.207	0.001	549207	104
550.046	0.001	550046	2
551.444	0.001	551444	22
552.193	0.001	552193	61
553.441	0.001	553441	42
554.779	0.001	554779	101
555.568	0.001	555568	102
556.497	0.001	556497	8
557.895	0.001	557895	28
558.744	0.001	558744	62
559.902	0.001	559902	48
560.861	0.001	560861	103
561.77	0.001	561770	104
562.609	0.001	562609	7
564.007	0.001	564007	27
565.515	0.001	565515	60
566.024	0.001	566024	47
566.823	0.001	566823	103
568.241	0.001	568241	104
569.309	0.001	569309	3
570.707	0.001	570707	23
571.367	0.001	571367	62
572.715	0.001	572715	43
573.284	0.001	573284	101
575.331	0.001	575331	102
576.45	0.001	576450	10
577.848	0.001	577848	30
578.487	0.001	578487	62
579.855	0.001	579855	50
580.454	0.001	580454	101
582.971	0.001	582971	104
583.22	0.001	583220	255
664.033	0.001	664033	254
665.961	0.001	665961	201
667.878	0.001	667878	6
669.266	0.001	669266	26
670.605	0.001	670605	62
671.274	0.001	671274	46
672.053	0.001	672053	101
673.79	0.001	673790	102
674.799	0.001	674799	12
676.187	0.001	676187	32
677.645	0.001	677645	62
678.194	0.001	678194	52
678.803	0.001	678803	103
680.212	0.001	680212	104
681.48	0.001	681480	1
682.878	0.001	682878	21
684.376	0.001	684376	60
684.875	0.001	684875	41
685.614	0.001	685614	101
688.44	0.001	688440	102
689.579	0.001	689579	1
690.977	0.001	690977	21
691.716	0.001	691716	62
692.994	0.001	692994	41
693.953	0.001	693953	101
696.16	0.001	696160	102
697.388	0.001	697388	7
698.786	0.001	698786	27
699.575	0.001	699575	61
700.784	0.001	700784	47
701.383	0.001	701383	103
703.49	0.001	703490	104
704.479	0.001	704479	12
705.877	0.001	705877	32
706.945	0.001	706945	62
707.894	0.001	707894	52
709.292	0.001	709292	103
711	0.001	711000	104
712.008	0.001	712008	2
713.406	0.001	713406	22
713.976	0.001	713976	61
715.424	0.001	715424	42
716.123	0.001	716123	101
719.089	0.001	719089	102
720.107	0.001	720107	10
721.496	0.001	721496	30
722.175	0.001	722175	62
723.513	0.001	723513	50
724.312	0.001	724312	103
726.838	0.001	726838	104
728.037	0.001	728037	10
729.435	0.001	729435	30
730.134	0.001	730134	62
731.442	0.001	731442	50
732.001	0.001	732001	103
733.709	0.001	733709	104
734.598	0.001	734598	11
735.986	0.001	735986	31
737.234	0.001	737234	61
737.993	0.001	737993	51
739.261	0.001	739261	103
740.909	0.001	740909	104
741.808	0.001	741808	4
743.206	0.001	743206	24
743.895	0.001	743895	61
745.213	0.001	745213	44
747.52	0.001	747520	101
749.827	0.001	749827	11
751.225	0.001	751225	31
752.733	0.001	752733	60
753.242	0.001	753242	51
756.039	0.001	756039	103
757.846	0.001	757846	7
759.234	0.001	759234	27
759.873	0.001	759873	61
761.242	0.001	761242	47
762.15	0.001	762150	103
763.289	0.001	763289	104
764.118	0.001	764118	9
765.516	0.001	765516	29
766.075	0.001	766075	61
767.533	0.001	767533	49
768.582	0.001	768582	103
771.218	0.001	771218	104
772.496	0.001	772496	10
773.884	0.001	773884	30
774.713	0.001	774713	62
775.902	0.001	775902	50
777.02	0.001	777020	103
778.628	0.001	778628	104
779.597	0.001	779597	4
780.985	0.001	780985	24
781.714	0.001	781714	61
782.992	0.001	782992	44
783.761	0.001	783761	101
785.658	0.001	785658	102
786.647	0.001	786647	3
788.035	0.001	788035	23
788.794	0.001	788794	62
790.052	0.001	790052	43
790.522	0.001	790522	101
792.429	0.001	792429	102
793.608	0.001	793608	1
795.006	0.001	795006	21
795.695	0.001	795695	62
797.023	0.001	797023	41
797.742	0.001	797742	101
799.649	0.001	799649	102
800.608	0.001	800608	2
802.006	0.001	802006	22
802.635	0.001	802635	61
804.013	0.001	804013	42
804.673	0.001	804673	101
806.011	0.001	806011	102
807.129	0.001	807129	1
808.527	0.001	808527	21
809.166	0.001	809166	62
810.545	0.001	810545	41
811.403	0.001	811403	101
813.121	0.001	813121	102
814.05	0.001	814050	6
815.448	0.001	815448	26
816.946	0.001	816946	60
817.445	0.001	817445	46
819.343	0.001	819343	101
820.95	0.001	820950	102
821.849	0.001	821849	1
823.247	0.001	823247	21
823.777	0.001	823777	62
825.265	0.001	825265	41
825.914	0.001	825914	101
827.012	0.001	827012	102
